구간,경도,위도,고도
401,126.981893,35.120297,505
402,126.981947,35.120307,505
403,126.981964,35.120303,505
404,126.982028,35.120309,505
405,126.982042,35.120311,508
406,126.982085,35.120286,513
407,126.982117,35.120281,513
408,126.98211,35.12024,513
409,126.982164,35.120259,513
410,126.982184,35.120244,513
411,126.982209,35.12021,513
412,126.982238,35.12018,513
413,126.982249,35.120152,513
414,126.982296,35.12016,513
415,126.982314,35.120139,522
416,126.982337,35.12013,522
417,126.982345,35.120102,522
418,126.982392,35.120096,522
419,126.982431,35.120061,522
420,126.982446,35.120084,522
421,126.982441,35.120052,522
422,126.982479,35.120026,522
423,126.982513,35.119993,524
424,126.98254,35.119979,524
425,126.982549,35.119958,524
426,126.982562,35.119951,524
427,126.982576,35.119908,524
428,126.982589,35.119894,533
429,126.982612,35.119903,533
430,126.982634,35.119861,533
431,126.982662,35.119854,533
432,126.982693,35.119817,533
433,126.982729,35.119814,533
434,126.982733,35.119792,533
435,126.982762,35.119767,533
436,126.982782,35.119738,533
437,126.982784,35.119755,533
438,126.982844,35.11972,535
439,126.982852,35.119725,535
440,126.982889,35.119723,546
441,126.982929,35.119686,546
442,126.982938,35.119656,546
443,126.982966,35.11959,546
444,126.982982,35.119596,546
445,126.982986,35.119593,546
446,126.98302,35.119558,546
447,126.983046,35.119535,546
448,126.983052,35.119546,546
449,126.983062,35.119518,546
450,126.983081,35.119469,546
451,126.983097,35.119469,546
452,126.983129,35.119451,553
453,126.983191,35.119406,563
454,126.983177,35.119407,563
455,126.983218,35.119409,563
456,126.983274,35.119401,563
457,126.983318,35.119393,563
458,126.983344,35.11938,563
459,126.983381,35.119373,563
460,126.983436,35.119339,571
461,126.983484,35.119293,571
462,126.983505,35.119292,571
463,126.983521,35.119304,571
464,126.983528,35.119298,571
465,126.983589,35.119302,571
466,126.983614,35.119305,571
467,126.983656,35.119292,571
468,126.983683,35.11929,571
469,126.983784,35.119251,576
470,126.98384,35.11924,576
471,126.98386,35.119235,576
472,126.983868,35.119234,576
473,126.983961,35.119224,576
474,126.983958,35.119226,576
475,126.98396,35.119224,576
476,126.983986,35.119236,582
477,126.983984,35.119237,582
478,126.983986,35.119239,582
479,126.983988,35.119238,582
480,126.983999,35.119238,582
481,126.984026,35.119224,582
482,126.984062,35.119211,582
483,126.984104,35.119199,582
484,126.984103,35.119196,582
485,126.98413,35.119184,582
486,126.984153,35.119178,582
487,126.984161,35.119165,589
488,126.984245,35.11912,589
489,126.98425,35.119108,589
490,126.984267,35.119064,599
491,126.984265,35.119029,599
492,126.984276,35.119025,599
493,126.98429,35.119015,599
494,126.9843,35.11898,599
495,126.984309,35.118972,599
496,126.984342,35.118964,599
497,126.985005,35.119066,607
498,126.985045,35.119066,607
499,126.985122,35.119054,612
500,126.985147,35.119055,612
