구간,경도,위도,고도
501,126.985187,35.119043,612
502,126.985315,35.119024,612
503,126.985418,35.118979,613
504,126.985418,35.11898,613
505,126.985478,35.118961,613
506,126.985491,35.118972,613
507,126.985524,35.118952,613
508,126.985525,35.118952,613
509,126.985527,35.11895,613
510,126.985546,35.118949,613
511,126.98555,35.118949,613
512,126.985572,35.118948,613
513,126.985603,35.118942,613
514,126.985641,35.118943,613
515,126.985679,35.118955,618
516,126.985721,35.118959,618
517,126.985737,35.118956,618
518,126.985778,35.118973,618
519,126.985819,35.118984,618
520,126.985859,35.118986,618
521,126.985875,35.118994,618
522,126.985907,35.118979,618
523,126.985951,35.118971,629
524,126.986004,35.118967,629
525,126.986047,35.118964,629
526,126.986097,35.118964,629
527,126.986148,35.118968,629
528,126.986172,35.118963,629
529,126.986185,35.118962,629
530,126.986212,35.118959,632
531,126.986251,35.118967,632
532,126.986284,35.118967,632
533,126.986344,35.118979,632
534,126.986381,35.118984,632
535,126.986414,35.118979,632
536,126.986447,35.118996,632
537,126.986512,35.118997,638
538,126.986527,35.118994,638
539,126.986564,35.118996,638
540,126.986591,35.118988,638
541,126.986625,35.118981,638
542,126.986606,35.118992,638
543,126.986681,35.118999,638
544,126.986736,35.119001,638
545,126.986769,35.118984,645
546,126.986785,35.118989,645
547,126.986812,35.118984,645
548,126.986856,35.118941,645
549,126.986885,35.118932,645
550,126.986896,35.118907,645
551,126.986924,35.118898,635
552,126.986954,35.118884,635
553,126.986987,35.118879,635
554,126.98701,35.118855,635
555,126.98703,35.118865,635
556,126.987049,35.118857,642
557,126.987075,35.11885,642
558,126.987103,35.118842,642
559,126.987142,35.118839,642
560,126.987171,35.118821,642
561,126.98721,35.118831,642
562,126.987264,35.118852,642
563,126.987302,35.118849,642
564,126.987364,35.118847,646
565,126.987398,35.118848,646
566,126.987408,35.118836,646
567,126.987475,35.11882,646
568,126.987513,35.118829,646
569,126.987569,35.118844,646
570,126.987604,35.118839,648
571,126.987715,35.118843,648
572,126.987714,35.11884,648
573,126.98775,35.118842,648
574,126.987748,35.118843,648
575,126.987755,35.118844,648
576,126.987759,35.11884,648
577,126.987797,35.118842,648
578,126.987831,35.118842,648
579,126.987988,35.118805,652
580,126.987992,35.118802,652
581,126.987992,35.118797,652
582,126.988008,35.118795,652
583,126.988028,35.118798,652
584,126.988045,35.118794,652
585,126.988052,35.118795,652
586,126.988056,35.118799,652
587,126.988114,35.118772,652
588,126.988251,35.11878,660
589,126.988271,35.118786,660
590,126.988284,35.118794,660
591,126.988302,35.11879,660
592,126.988324,35.11878,660
593,126.988323,35.118779,660
594,126.988324,35.118784,660
595,126.988359,35.118786,660
596,126.988376,35.11879,660
597,126.98849,35.118778,669
598,126.988508,35.118778,669
599,126.988536,35.11876,669
600,126.988546,35.11876,669
