구간,좌우,종명,개화,결실,비고
801,L,-,,,
802,L,참빗살나무,,,
803,L,물참대,,,
803,L,단풍나무,,,
803,L,산벚나무,,,
804,L,조록싸리,,,
805,L,-,,,
806,L,병꽃나무,,,
806,L,물참대,,,
806,L,산초나무,,,
807,L,말채나무,,,
808,L,노박덩굴,,,
808,L,당단풍나무,,,
809,L,사람주나무,,,
809,L,단풍나무,,,
809,L,신갈나무,,,
809,L,때죽나무,,,
809,L,비목나무,,,
810,L,때죽나무,,,
810,L,신갈나무,,,
810,L,노린재나무,,,
810,L,조릿대,,,
811,L,때죽나무,,,
811,L,조릿대,,,
812,L,때죽나무,,,
812,L,때죽나무,,,
812,L,조릿대,,,
813,L,노린재나무,,,
813,L,조릿대,,,
814,L,신갈나무,,,
814,L,때죽나무,,,
815,L,조릿대,,,
815,L,사람주나무,,,
815,L,신갈나무,,,
816,L,상수리나무,,,
817,L,때죽나무,,,
817,L,조릿대,,,
817,L,단풍나무,,,
818,L,단풍나무,,,
818,L,조릿대,,,
818,L,졸참나무,,,
818,L,노린재나무,,,
819,L,때죽나무,,,
819,L,조릿대,,,
819,L,신갈나무,,,
819,L,노린재나무,,,
820,L,조릿대,,,
820,L,때죽나무,,,
821,L,떡갈나무,,,
821,L,회잎나무,,,
821,L,조릿대,,,
821,L,신갈나무,,,
822,L,졸참나무,,,
822,L,조릿대,,,
822,L,때죽나무,,,
823,L,신갈나무,,,
823,L,조릿대,,,
823,L,때죽나무,,,
823,L,신갈나무,,,
824,L,때죽나무,,,
824,L,조릿대,,,
824,L,때죽나무,,,
825,L,때죽나무,,,
825,L,신갈나무,,,
825,L,신갈나무,,,
825,L,사람주나무,,,
826,L,조릿대,,,
826,L,때죽나무,,,
826,L,산딸나무,,,
826,L,신갈나무,,,
826,L,산딸나무,,,
827,L,조릿대,,,
827,L,신갈나무,,,
827,L,산딸나무,,,
828,L,사람주나무,,,
828,L,조릿대,,,
829,L,졸참나무,,,
829,L,산벚나무,,,
829,L,조릿대,,,
830,L,물푸레나무,,,
830,L,조릿대,,,
831,L,신갈나무,,,
831,L,때죽나무,,,
832,L,신갈나무,,,
832,L,산벚나무,,,
832,L,신갈나무,,,
833,L,물푸레나무,,,
833,L,신갈나무,,,
833,L,산벚나무,,,
834,L,신갈나무,,,
834,L,개서어나무,,,
835,L,당단풍나무,,,
835,L,비목나무,,,
835,L,조릿대,,,
836,L,때죽나무,,,
836,L,신갈나무,,,
836,L,상수리나무,,,
836,L,조릿대,,,
837,L,조릿대,,,
837,L,노린재나무,,,
837,L,신갈나무,,,
837,L,때죽나무,,,
838,L,신갈나무,,,
838,L,때죽나무,,,
838,L,소나무,,,
838,L,조릿대,,,
839,L,상수리나무,,,
839,L,신갈나무,,,
839,L,때죽나무,,,
840,L,사람주나무,,,
840,L,신갈나무,,,
841,L,때죽나무,,,
841,L,신갈나무,,,
841,L,조릿대,,,
842,L,신갈나무,,,
842,L,당단풍나무,,,
842,L,조릿대,,,
843,L,조릿대,,,
843,L,신갈나무,,,
843,L,때죽나무,,,
843,L,사람주나무,,,
844,L,사람주나무,,,
844,L,신갈나무,,,
845,L,때죽나무,,,
845,L,조릿대,,,
846,L,비목나무,,,
846,L,신갈나무,,,
846,L,생강나무,,,
847,L,비목나무,,,
847,L,산벚나무,,,
848,L,때죽나무,,,
848,L,조릿대,,,
848,L,비목나무,,,
848,L,신갈나무,,,
848,L,신갈나무,,,
849,L,국수나무,,,
