구간,경도,위도,고도
601,126.98855,35.118757,669
602,126.988581,35.118739,669
603,126.988605,35.118735,669
604,126.98861,35.118736,669
605,126.988654,35.11873,669
606,126.988674,35.118732,669
607,126.988712,35.118711,682
608,126.988719,35.118722,682
609,126.988789,35.118717,682
610,126.988839,35.118696,682
611,126.98881,35.118662,682
612,126.988812,35.118635,682
613,126.988842,35.118635,682
614,126.988889,35.118644,682
615,126.988912,35.118615,663
616,126.988936,35.118615,663
617,126.988968,35.118623,682
618,126.989,35.11863,684
619,126.989049,35.118622,684
620,126.989102,35.118623,684
621,126.989132,35.118626,684
622,126.989179,35.118623,684
623,126.989214,35.118639,684
624,126.98923,35.118625,684
625,126.989233,35.118616,663
626,126.989253,35.118609,675
627,126.989279,35.118604,675
628,126.989324,35.118621,685
629,126.989356,35.118619,675
630,126.989374,35.118605,675
631,126.989423,35.118606,675
632,126.989441,35.118614,675
633,126.989464,35.118616,675
634,126.989522,35.118635,685
635,126.989547,35.118648,696
636,126.989585,35.118646,696
637,126.989614,35.118643,696
638,126.989634,35.118644,696
639,126.989719,35.118671,696
640,126.989783,35.118695,696
641,126.989814,35.1187,703
642,126.989808,35.11869,703
643,126.989828,35.118701,703
644,126.989843,35.118724,703
645,126.98988,35.11872,703
646,126.989908,35.118724,703
647,126.989923,35.118729,703
648,126.989926,35.118727,703
649,126.989924,35.118738,703
650,126.989956,35.118749,703
651,126.989985,35.118769,703
652,126.99001,35.11879,703
653,126.990044,35.118777,703
654,126.990071,35.118773,703
655,126.990093,35.118772,703
656,126.990131,35.118773,703
657,126.990168,35.118773,703
658,126.990203,35.118781,703
659,126.990227,35.118775,703
660,126.990253,35.118786,703
661,126.990263,35.118802,703
662,126.990306,35.118796,703
663,126.990349,35.118831,703
664,126.990366,35.118842,703
665,126.990403,35.118849,703
666,126.990431,35.118859,703
667,126.990483,35.11885,703
668,126.990486,35.118857,703
669,126.99053,35.118867,703
670,126.99055,35.118872,703
671,126.990588,35.118886,703
672,126.990594,35.118895,703
673,126.990622,35.118911,715
674,126.990641,35.118927,715
675,126.990651,35.118954,713
676,126.990683,35.118961,713
677,126.990741,35.118967,713
678,126.990787,35.118991,713
679,126.990817,35.11898,713
680,126.990838,35.11899,713
681,126.990856,35.118963,713
682,126.990893,35.118953,713
683,126.990921,35.118951,715
684,126.99094,35.118949,715
685,126.990993,35.118943,715
686,126.99102,35.118944,715
687,126.991058,35.118941,715
688,126.991072,35.118947,715
689,126.991122,35.118943,715
690,126.991187,35.118942,715
691,126.991199,35.118937,721
692,126.991215,35.118945,721
693,126.991246,35.118936,721
694,126.991263,35.11893,721
695,126.991319,35.118923,721
696,126.99134,35.118925,721
697,126.991389,35.118921,721
698,126.991413,35.118921,721
699,126.991434,35.118911,721
700,126.991461,35.118918,721
