구간,경도,위도,고도
801,126.99453,35.119239,782
802,126.994539,35.119225,788
803,126.994561,35.119222,788
804,126.994589,35.119208,788
805,126.994603,35.119191,788
806,126.994605,35.119195,788
807,126.994626,35.119169,786
808,126.994644,35.119139,786
809,126.994645,35.119122,786
810,126.994623,35.119099,786
811,126.994632,35.119084,786
812,126.99466,35.119046,786
813,126.994673,35.119018,786
814,126.994674,35.119008,786
815,126.994662,35.118976,786
816,126.994683,35.118945,786
817,126.994657,35.118934,786
818,126.994636,35.118912,786
819,126.994677,35.118881,786
820,126.994674,35.11887,786
821,126.994686,35.11884,786
822,126.994664,35.118813,786
823,126.994673,35.118787,786
824,126.994663,35.118778,786
825,126.99465,35.118748,786
826,126.994692,35.118707,786
827,126.994735,35.11867,786
828,126.994771,35.11868,786
829,126.994753,35.118662,786
830,126.994742,35.118641,786
831,126.994749,35.118631,786
832,126.994798,35.118547,780
833,126.994851,35.118518,790
834,126.994826,35.118469,790
835,126.994824,35.118511,790
836,126.994797,35.118497,780
837,126.99482,35.118487,790
838,126.994849,35.118444,790
839,126.994808,35.118368,790
840,126.99483,35.118351,790
841,126.99487,35.11831,791
842,126.994891,35.118252,791
843,126.994908,35.118231,791
844,126.994904,35.118232,791
845,126.99491,35.118223,791
846,126.994935,35.118207,791
847,126.994944,35.118208,791
848,126.994954,35.118178,791
849,126.994954,35.118185,791
850,126.994976,35.118192,791
851,126.995002,35.118161,791
852,126.995002,35.118169,791
853,126.995016,35.118141,791
854,126.995041,35.118111,791
855,126.995082,35.118086,791
856,126.995103,35.118093,801
857,126.995122,35.118079,801
858,126.995146,35.118045,798
859,126.995162,35.11801,798
860,126.995198,35.118028,798
861,126.995182,35.118036,798
862,126.995245,35.117988,798
863,126.99525,35.117987,798
864,126.995265,35.117966,798
865,126.995286,35.117973,798
866,126.995278,35.117964,798
867,126.995296,35.1179,798
868,126.995339,35.117883,798
869,126.995388,35.117871,810
870,126.995415,35.117857,810
871,126.995456,35.117862,810
872,126.995475,35.117858,810
873,126.995492,35.11784,810
874,126.995487,35.117799,810
875,126.995503,35.11779,810
876,126.995523,35.11777,806
877,126.995538,35.117729,806
878,126.995565,35.117727,806
879,126.995596,35.11771,806
880,126.99564,35.117721,806
881,126.995662,35.117716,819
882,126.995711,35.11767,819
883,126.995737,35.117648,819
884,126.995761,35.117633,819
885,126.995799,35.117616,819
886,126.995822,35.117619,819
887,126.995838,35.117591,819
888,126.995855,35.117568,819
889,126.995873,35.117563,819
890,126.995898,35.117564,819
891,126.995933,35.117565,824
892,126.99594,35.11756,824
893,126.995962,35.117542,824
894,126.996012,35.117545,824
895,126.996037,35.117553,824
896,126.996016,35.117524,824
897,126.996012,35.117502,828
898,126.996056,35.117462,828
899,126.996102,35.117448,828
900,126.996099,35.117432,828
