구간,좌우,종명,개화,결실,비고
901,R,물푸레나무,,,
901,R,참빗살나무,,,
902,R,산뽕나무,,,
902,R,회잎나무,,1,
903,R,산뽕나무,,,
904,R,고추나무,,,
904,R,당단풍나무,,,
904,R,노린재나무,,,
905,R,노린재나무,,,
905,R,산뽕나무,,,
906,R,비목나무,,,
906,R,당단풍나무,,,
907,R,생강나무,,,
907,R,때죽나무,,,군락
907,R,조릿대,,,
908,R,조릿대,,,
908,R,비목나무,,,
908,R,신갈나무,,,
908,R,때죽나무,,,
909,R,회잎나무,,,
909,R,회나무,,,
910,R,비목나무,,,
910,R,신갈나무,,,
911,R,비목나무,,,
912,R,신갈나무,,,
912,R,산벚나무,,,
913,R,당단풍나무,,,
914,R,비목나무,,,
914,R,신갈나무,,,
915,R,조릿대,,,
915,R,때죽나무,,,
916,R,비목나무,,,
917,R,까치박달,,,
918,R,때죽나무,,,
919,R,때죽나무,,,군락
920,R,때죽나무,,,
920,R,비목나무,,,
921,R,때죽나무,,,
922,R,국수나무,,,
922,R,비목나무,,,
923,R,비목나무,,,
923,R,까치박달,,,
924,R,함박꽃나무,,,
924,R,때죽나무,,,
925,R,-,,,
926,R,신갈나무,,,
927,R,개암나무,,,
927,R,노린재나무,,,
927,R,신갈나무,,,
928,R,산뽕나무,,,
928,R,산뽕나무,,,
929,R,비목나무,,,
929,R,신갈나무,,,
930,R,산뽕나무,,,
930,R,신갈나무,,,
930,R,신갈나무,,,
931,R,신갈나무,,,
931,R,까치박달,,,
931,R,신갈나무,,,
932,R,때죽나무,,,
932,R,때죽나무,,,
933,R,비목나무,,,
933,R,신갈나무,,,
933,R,때죽나무,,,
934,R,때죽나무,,,
935,R,당단풍나무,,,
935,R,신갈나무,,,
936,R,병꽃나무,,,
936,R,쇠물푸레나무,,,
936,R,노린재나무,,,
937,R,팥배나무,,,
937,R,때죽나무,,,
938,R,신갈나무,,,
938,R,때죽나무,,,
939,R,국수나무,,,
939,R,회잎나무,,,
939,R,때죽나무,,,
940,R,비목나무,,,
940,R,때죽나무,,,
940,R,때죽나무,,,군락
941,R,비목나무,,,
941,R,당단풍나무,,,
942,R,때죽나무,,,
942,R,산뽕나무,,,
942,R,당단풍나무,,,
943,R,비목나무,,,
943,R,신갈나무,,,
943,R,당단풍나무,,,
944,R,당단풍나무,,,
944,R,비목나무,,,
944,R,때죽나무,,,
944,R,산벚나무,,,
945,R,신갈나무,,,
946,R,신갈나무,,,
946,R,신갈나무,,,
946,R,산벚나무,,,
946,R,비목나무,,,
947,R,신갈나무,,,
947,R,비목나무,,,
948,R,당단풍나무,,,
948,R,비목나무,,,
949,R,비목나무,,,
949,R,비목나무,,,
950,R,때죽나무,,,
950,R,신갈나무,,,
951,R,비목나무,,,
952,R,때죽나무,,,
952,R,때죽나무,,,
952,R,비목나무,,,
953,R,때죽나무,,,
953,R,때죽나무,,,
954,R,때죽나무,,,
954,R,비목나무,,,
955,R,때죽나무,,,
956,R,때죽나무,,,
956,R,때죽나무,,,
957,R,비목나무,,,
958,R,때죽나무,,,
958,R,비목나무,,,
959,R,때죽나무,,,
959,R,때죽나무,,,
960,R,물푸레나무,,,
961,R,-,,,
962,R,산뽕나무,,,
963,R,산뽕나무,,,
964,R,호랑버들,,,
965,R,신갈나무,,,
966,R,개암나무,,,
967,R,개암나무,,,
968,R,비목나무,,,
969,R,국수나무,,,
970,R,산수국,,,
971,R,신갈나무,,,
972,R,산뽕나무,,,
973,R,산뽕나무,,,
974,R,국수나무,,,
975,R,비목나무,,,
976,R,얇은잎고광나무,,,
977,R,-,,,
978,R,-,,,
979,R,병꽃나무,,,
980,R,비목나무,,,
980,R,신갈나무,,,
981,R,철쭉sp.,,,
982,R,팥배나무,,,
982,R,신갈나무,,,
983,R,신갈나무,,,
983,R,얇은잎고광나무,,,
984,R,국수나무,,,
984,R,얇은잎고광나무,,,
985,R,개암나무,,,
985,R,호랑버들,,,
986,R,신갈나무,,,
986,R,인동,,,
987,R,국수나무,,,
988,R,국수나무,,,
988,R,국수나무,,,
989,R,신갈나무,,,
990,R,산뽕나무,,,
990,R,신갈나무,,,
991,R,산뽕나무,,,
992,R,철쭉sp.,,,
993,R,철쭉sp.,,,
994,R,-,,,
995,R,-,,,
996,R,철쭉sp.,,,군락
997,R,철쭉sp.,,,군락
998,R,-,,,
