구간,경도,위도,고도
701,126.991493,35.118908,725
702,126.991541,35.118916,725
703,126.991591,35.118914,725
704,126.991607,35.118925,725
705,126.991613,35.118924,725
706,126.99166,35.118934,725
707,126.99168,35.11894,725
708,126.991722,35.118953,725
709,126.991742,35.118967,725
710,126.991766,35.118996,731
711,126.991814,35.118987,731
712,126.991829,35.118977,731
713,126.991885,35.118991,731
714,126.991911,35.119,731
715,126.991949,35.119009,731
716,126.99197,35.119029,731
717,126.991998,35.119014,731
718,126.992021,35.119021,731
719,126.992084,35.119029,739
720,126.992113,35.119029,739
721,126.992141,35.119055,739
722,126.992167,35.119055,739
723,126.99218,35.119071,739
724,126.992209,35.119095,739
725,126.992244,35.119063,739
726,126.992283,35.119085,739
727,126.992298,35.119096,739
728,126.992329,35.119097,745
729,126.992367,35.119103,745
730,126.992409,35.119141,745
731,126.992411,35.119136,745
732,126.992441,35.119139,745
733,126.992474,35.119166,745
734,126.992492,35.119181,751
735,126.992512,35.119186,751
736,126.992528,35.119209,751
737,126.992558,35.119221,751
738,126.99259,35.11923,755
739,126.992623,35.119258,755
740,126.992665,35.119278,755
741,126.992669,35.119278,755
742,126.992701,35.119295,755
743,126.992746,35.119282,755
744,126.992786,35.119288,755
745,126.992786,35.119291,755
746,126.992854,35.119294,755
747,126.992881,35.119284,761
748,126.992931,35.119291,761
749,126.99296,35.119293,761
750,126.992976,35.119326,761
751,126.992993,35.119297,761
752,126.993007,35.119305,761
753,126.993043,35.119316,761
754,126.993184,35.119383,772
755,126.993185,35.119385,772
756,126.993237,35.119383,772
757,126.993275,35.11939,772
758,126.993275,35.11939,772
759,126.993326,35.11937,772
760,126.993335,35.119381,772
761,126.993359,35.119388,772
762,126.993376,35.119399,772
763,126.993415,35.119409,772
764,126.993436,35.119402,774
765,126.993473,35.119377,774
766,126.993481,35.119378,774
767,126.993502,35.119378,774
768,126.993521,35.119372,774
769,126.993555,35.119357,774
770,126.993563,35.119345,774
771,126.993602,35.119343,774
772,126.993637,35.119364,774
773,126.993655,35.119341,774
774,126.993684,35.119322,774
775,126.993736,35.119329,773
776,126.993781,35.119328,773
777,126.993818,35.119336,773
778,126.993826,35.119371,773
779,126.993864,35.119361,773
780,126.993889,35.119384,773
781,126.993937,35.119401,773
782,126.993987,35.119383,776
783,126.993998,35.119391,776
784,126.994027,35.119403,776
785,126.994083,35.119412,776
786,126.994111,35.119402,776
787,126.994127,35.119397,776
788,126.994186,35.119371,776
789,126.994192,35.119366,776
790,126.994186,35.119375,776
791,126.994254,35.11937,782
792,126.99427,35.119356,782
793,126.99431,35.119332,782
794,126.994326,35.119319,782
795,126.994358,35.119304,782
796,126.99436,35.119293,782
797,126.994433,35.119289,782
798,126.994437,35.119284,782
799,126.99445,35.119249,782
800,126.994487,35.119243,782
