구간,좌우,종명,개화,결실,비고
701,R,국수나무,,,
701,R,신갈나무,,,
702,R,조릿대,,,
702,R,신갈나무,,,
703,R,밤나무,,,
704,R,비목나무,,,
704,R,국수나무,,,
704,R,병꽃나무,,,
704,R,회잎나무,,,
705,R,콩배나무,,,
706,R,국수나무,,,
706,R,쥐똥나무,,,
706,R,개암나무,,,
707,R,꾸지뽕나무,,,
707,R,쥐똥나무,,,
708,R,꾸지뽕나무,,,
708,R,꾸지뽕나무,,,
709,R,가막살나무,,1,
709,R,신갈나무,,,
709,R,물푸레나무,,,
709,R,노린재나무,,,
710,R,노린재나무,,,
711,R,신갈나무,,,
711,R,신갈나무,,,
711,R,노린재나무,,,
712,R,졸참나무,,,
712,R,노린재나무,,,
713,R,비목나무,,,
713,R,졸참나무,,,
714,R,노린재나무,,,
714,R,졸참나무,,,
714,R,물푸레나무,,,
715,R,개암나무,,,
715,R,생강나무,,,
716,R,쥐똥나무,,1,
717,R,조록싸리,,,
717,R,물참대,,,
717,R,누리장나무,,1,
718,R,쥐똥나무,,,
718,R,개암나무,,,
719,R,생강나무,,,
720,R,생강나무,,,
720,R,물푸레나무,,,
721,R,때죽나무,,,
721,R,물푸레나무,,,
722,R,작살나무,,1,
722,R,참빗살나무,,,
722,R,물푸레나무,,,
723,R,국수나무,,,
723,R,비목나무,,,
723,R,층층나무,,,
724,R,졸참나무,,,
724,R,가막살나무,,,
724,R,때죽나무,,,
724,R,조릿대,,,
725,R,노린재나무,,,
725,R,고추나무,,,
725,R,졸참나무,,,
725,R,졸참나무,,,
726,R,까치박달,,,
726,R,비목나무,,,
727,R,졸참나무,,,
727,R,조릿대,,,
728,R,신갈나무,,,
728,R,물푸레나무,,,
728,R,비목나무,,,
729,R,당단풍나무,,,
729,R,때죽나무,,,
730,R,조릿대,,,
730,R,때죽나무,,,
730,R,졸참나무,,,
731,R,느티나무,,,
731,R,쥐똥나무,,,
732,R,때죽나무,,,
732,R,졸참나무,,,
733,R,고로쇠나무,,,
733,R,졸참나무,,,
733,R,때죽나무,,,
733,R,조릿대,,,
734,R,졸참나무,,,
734,R,조릿대,,,
734,R,졸참나무,,,
735,R,졸참나무,,,
735,R,때죽나무,,,
735,R,조릿대,,,
736,R,조릿대,,,
736,R,산벚나무,,,
737,R,졸참나무,,,
737,R,비목나무,,,
738,R,졸참나무,,,
738,R,조릿대,,,
739,R,때죽나무,,,
739,R,조릿대,,,
740,R,조릿대,,,
741,R,신갈나무,,,
741,R,쥐똥나무,,,
742,R,졸참나무,,,
742,R,비목나무,,,
742,R,때죽나무,,,
743,R,신갈나무,,,
744,R,물푸레나무,,,
744,R,산뽕나무,,,
745,R,산뽕나무,,,
745,R,때죽나무,,,
746,R,조릿대,,,
747,R,병꽃나무,,,
747,R,조릿대,,,
747,R,때죽나무,,,
748,R,쥐똥나무,,,
748,R,조릿대,,,
749,R,때죽나무,,,
750,R,비목나무,,,
751,R,조릿대,,,
751,R,산벚나무,,,
752,R,보리수나무,,,
752,R,조릿대,,,
753,R,회잎나무,,1,
753,R,고추나무,,,
754,R,쥐똥나무,,,
754,R,산벚나무,,,
754,R,참빗살나무,,,
755,R,회잎나무,,1,
755,R,조릿대,,,
755,R,때죽나무,,,
755,R,노린재나무,,,
756,R,괴불나무,,,
757,R,꾸지뽕나무,,,
757,R,쥐똥나무,,,
758,R,꾸지뽕나무,,,
758,R,회잎나무,,1,
758,R,조릿대,,,
759,R,조릿대,,,
759,R,산뽕나무,,,
760,R,때죽나무,,,
760,R,조릿대,,,
760,R,비목나무,,,
761,R,때죽나무,,,
761,R,조릿대,,,
762,R,조릿대,,,
763,R,조릿대,,,
763,R,때죽나무,,,
764,R,졸참나무,,,
765,R,비목나무,,,
765,R,조릿대,,,
766,R,조릿대,,,
766,R,때죽나무,,,
767,R,콩배나무,,1,
767,R,회잎나무,,,
767,R,조릿대,,,
767,R,노린재나무,,,
768,R,노박덩굴,,,
768,R,비목나무,,,
769,R,회잎나무,,,
769,R,당단풍나무,,,
769,R,고추나무,,,
769,R,쥐똥나무,,,
769,R,회잎나무,,,
770,R,회잎나무,,,군락
770,R,신갈나무,,,
770,R,층층나무,,,
771,R,회잎나무,,,
771,R,개암나무,,,
772,R,괴불나무,,,
772,R,회잎나무,,,군락
772,R,신갈나무,,,
773,R,비목나무,,,
774,R,노린재나무,,,
774,R,아그배나무,,,
775,R,때죽나무,,,
775,R,조릿대,,,
775,R,신갈나무,,,
776,R,개암나무,,,
777,R,신갈나무,,,
777,R,참회나무,,,
778,R,신갈나무,,,
778,R,때죽나무,,,
778,R,때죽나무,,,
778,R,조릿대,,,
779,R,조릿대,,,
779,R,때죽나무,,,
779,R,생강나무,,,
780,R,때죽나무,,,
780,R,산벚나무,,,
780,R,조릿대,,,
781,R,조릿대,,,
781,R,신갈나무,,,
782,R,신갈나무,,,
782,R,조릿대,,,
783,R,물푸레나무,,,
783,R,조릿대,,,
784,R,물푸레나무,,,
784,R,신갈나무,,,
784,R,때죽나무,,,
785,R,신갈나무,,,
786,R,물푸레나무,,,
786,R,때죽나무,,,
787,R,물푸레나무,,,
788,R,물푸레나무,,,
788,R,참회나무,,,
788,R,생강나무,,,
789,R,물푸레나무,,,
789,R,물푸레나무,,,
790,R,물푸레나무,,,
791,R,물푸레나무,,,
791,R,참빗살나무,,,
792,R,-,,,
793,R,물푸레나무,,,
793,R,사람주나무,,,
794,R,산딸나무,,,
794,R,신갈나무,,,
794,R,때죽나무,,,
795,R,산뽕나무,,,
795,R,조릿대,,,
795,R,신갈나무,,,
795,R,신갈나무,,,
795,R,생강나무,,,
796,R,신갈나무,,,
796,R,때죽나무,,,
796,R,조릿대,,,
797,R,생강나무,,,
798,R,신갈나무,,,
798,R,단풍나무,,,
799,R,말채나무,,,
800,R,생강나무,,,
