구간,경도,위도,고도
101,126.97373,35.124019,339
102,126.973751,35.124002,339
103,126.973763,35.124003,339
104,126.97382,35.123958,339
105,126.973844,35.123926,339
106,126.973868,35.12393,339
107,126.973947,35.123887,335
108,126.973989,35.123885,341
109,126.974044,35.123871,341
110,126.974088,35.123873,341
111,126.974115,35.123856,341
112,126.97413,35.123849,341
113,126.974177,35.12383,341
114,126.974192,35.123807,341
115,126.974217,35.123786,341
116,126.974255,35.123787,346
117,126.974309,35.123769,346
118,126.974347,35.123758,346
119,126.974387,35.123762,346
120,126.974414,35.12376,346
121,126.974472,35.12374,346
122,126.974508,35.123736,346
123,126.974513,35.12374,346
124,126.974524,35.12374,346
125,126.97457,35.123713,350
126,126.9746,35.123672,350
127,126.974616,35.123661,350
128,126.974655,35.123656,350
129,126.974678,35.123651,350
130,126.974736,35.123617,344
131,126.974747,35.123608,344
132,126.974762,35.123609,344
133,126.974806,35.123604,344
134,126.974833,35.123604,351
135,126.9749,35.123592,351
136,126.97493,35.123565,351
137,126.974948,35.123542,351
138,126.97496,35.123535,351
139,126.975001,35.123504,351
140,126.975006,35.123473,351
141,126.975085,35.123474,351
142,126.975118,35.123443,358
143,126.975131,35.123445,358
144,126.975144,35.123428,358
145,126.97517,35.123425,358
146,126.975205,35.123396,358
147,126.975237,35.123378,358
148,126.975263,35.123365,358
149,126.975286,35.123325,357
150,126.975311,35.123303,357
151,126.975346,35.123281,357
152,126.975388,35.123261,365
153,126.975411,35.123258,365
154,126.975424,35.123255,365
155,126.975457,35.123217,365
156,126.975475,35.123203,365
157,126.975497,35.123201,365
158,126.975539,35.123192,365
159,126.975587,35.123177,365
160,126.975618,35.123176,365
161,126.975655,35.123154,374
162,126.975685,35.123142,374
163,126.975705,35.123116,374
164,126.975717,35.123104,374
165,126.97574,35.123087,374
166,126.975767,35.123081,374
167,126.9758,35.123049,369
168,126.975823,35.123014,369
169,126.975848,35.122978,369
170,126.975859,35.122952,369
171,126.975863,35.122947,369
172,126.975937,35.122923,377
173,126.975965,35.122929,377
174,126.976015,35.122905,377
175,126.976024,35.122901,377
176,126.976024,35.122904,377
177,126.97604,35.1229,377
178,126.976095,35.122876,377
179,126.976157,35.122856,377
180,126.97616,35.122853,377
181,126.976214,35.122852,382
182,126.976232,35.122845,382
183,126.976232,35.122838,382
184,126.976257,35.122816,382
185,126.9763,35.122808,382
186,126.976322,35.122815,382
187,126.976362,35.122795,382
188,126.976411,35.122809,382
189,126.97645,35.122812,382
190,126.976484,35.122798,388
191,126.976506,35.122795,388
192,126.976533,35.122823,388
193,126.976552,35.122834,388
194,126.976613,35.122826,388
195,126.976678,35.122833,388
196,126.976702,35.122844,388
197,126.97674,35.122867,388
198,126.976757,35.122876,393
199,126.976806,35.122881,393
200,126.976809,35.122897,393
