구간,경도,위도,고도
301,126.97941,35.121836,445
302,126.979377,35.121805,445
303,126.979489,35.121745,445
304,126.979523,35.121735,445
305,126.97962,35.121661,449
306,126.979625,35.121656,449
307,126.979624,35.121657,449
308,126.979636,35.121646,449
309,126.979668,35.121607,449
310,126.979687,35.121597,449
311,126.979681,35.121586,449
312,126.979704,35.121559,449
313,126.979719,35.121518,449
314,126.979728,35.121519,449
315,126.979728,35.121512,449
316,126.979738,35.121511,449
317,126.979765,35.121487,449
318,126.979796,35.121469,449
319,126.97983,35.12145,457
320,126.979871,35.121435,457
321,126.979883,35.121434,457
322,126.979923,35.121411,457
323,126.979946,35.121416,457
324,126.980025,35.121388,455
325,126.980053,35.121369,455
326,126.980068,35.121358,455
327,126.980114,35.121389,467
328,126.980151,35.121373,467
329,126.980171,35.121326,467
330,126.980174,35.121331,467
331,126.980202,35.121312,467
332,126.980256,35.121309,467
333,126.980268,35.1213,467
334,126.980296,35.12128,467
335,126.980297,35.121277,467
336,126.980324,35.121275,467
337,126.980352,35.121262,467
338,126.980363,35.121228,467
339,126.980385,35.121184,477
340,126.980398,35.121162,477
341,126.980398,35.121135,477
342,126.980421,35.121112,465
343,126.980435,35.121093,465
344,126.98043,35.121058,465
345,126.980432,35.121056,465
346,126.980499,35.121033,465
347,126.98053,35.121016,465
348,126.980552,35.120992,465
349,126.980608,35.120984,465
350,126.980646,35.120993,473
351,126.98067,35.120984,473
352,126.980675,35.12097,473
353,126.980701,35.120965,473
354,126.980738,35.120955,473
355,126.980825,35.120914,473
356,126.980941,35.120884,481
357,126.980973,35.120874,481
358,126.98104,35.120882,481
359,126.981058,35.120886,481
360,126.981063,35.120879,481
361,126.981065,35.120881,481
362,126.981086,35.120886,481
363,126.981093,35.12089,481
364,126.981112,35.120896,481
365,126.981132,35.120898,481
366,126.981145,35.120902,481
367,126.981175,35.12091,481
368,126.98121,35.120897,490
369,126.98123,35.120887,490
370,126.981252,35.120891,490
371,126.981274,35.120881,490
372,126.98129,35.120883,490
373,126.981324,35.120851,490
374,126.981367,35.120822,489
375,126.981367,35.120805,489
376,126.981405,35.12077,489
377,126.981415,35.120712,489
378,126.981417,35.120695,489
379,126.981418,35.120688,489
380,126.981416,35.120672,489
381,126.981443,35.120652,489
382,126.981445,35.120638,489
383,126.981455,35.120594,489
384,126.981487,35.120551,501
385,126.981512,35.120558,501
386,126.98154,35.120538,501
387,126.981555,35.120537,501
388,126.981576,35.120534,501
389,126.981559,35.120497,501
390,126.98159,35.120483,501
391,126.981606,35.12044,501
392,126.981659,35.120433,501
393,126.981687,35.120421,501
394,126.98172,35.12039,501
395,126.981768,35.120402,505
396,126.981782,35.120385,505
397,126.981816,35.120383,505
398,126.981842,35.120372,505
399,126.98187,35.120367,505
400,126.98188,35.120334,505
