구간,좌우,종명,개화,결실,비고
101,R,산벚나무,,,
101,R,삼나무,,,
102,R,삼나무,,,
102,R,삼나무,,,
103,R,삼나무,,,
103,R,보리수나무,,,
104,R,비목나무,,,
105,R,보리수나무,,,
106,R,-,,,
107,R,꾸지뽕나무,,,
108,R,-,,,
109,R,-,,,
110,R,-,,,
111,R,-,,,
112,R,때죽나무,,,
113,R,층층나무,,,
113,R,팽나무,,,
114,R,-,,,
115,R,-,,,
116,R,국수나무,,,
117,R,팽나무,,,
118,R,느티나무,,,
119,R,까마귀밥나무,,,
120,R,쥐똥나무,,,
121,R,쥐똥나무,,,
121,R,때죽나무,,,
122,R,쥐똥나무,,,
123,R,-,,,
124,R,-,,,
125,R,상산,,,
126,R,말채나무,,,
126,R,때죽나무,,,
127,R,꾸지뽕나무,,,
127,R,꾸지뽕나무,,,
128,R,꾸지뽕나무,,,
128,R,꾸지뽕나무,,,
129,R,으름덩굴,,,
130,R,싸리,,,
131,R,찔레나무,,,
132,R,꾸지뽕나무,,,
133,R,꾸지뽕나무,,,
134,R,상산,,,
134,R,꾸지뽕나무,,,
135,R,층층나무,,,
136,R,꾸지뽕나무,,,
136,R,꾸지뽕나무,,,
136,R,꾸지뽕나무,,,
136,R,산벚나무,,,
137,R,덜꿩나무,,,
138,R,때죽나무,,,
139,R,팽나무,,,
140,R,꾸지뽕나무,,,
141,R,-,,,
142,R,말채나무,,,
143,R,보리수나무,,,
144,R,-,,,
145,R,팽나무,,,
145,R,꾸지뽕나무,,,
146,R,때죽나무,,,
147,R,-,,,
148,R,꾸지뽕나무,,,
149,R,상산,,,
150,R,팽나무,,,
151,R,비목나무,,,
151,R,팽나무,,,
152,R,팽나무,,,
152,R,꾸지뽕나무,,,
153,R,때죽나무,,,
154,R,꾸지뽕나무,,,
155,R,찔레나무,,,
156,R,국수나무,,,
157,R,-,,,
158,R,버드나무,,,
159,R,-,,,
160,R,꾸지뽕나무,,,
161,R,꾸지뽕나무,,,
162,R,상산,,,
162,R,때죽나무,,,
163,R,산벚나무,,,
163,R,때죽나무,,,
164,R,꾸지뽕나무,,,
165,R,때죽나무,,,
165,R,꾸지뽕나무,,,
166,R,느티나무,,,
167,R,느티나무,,,
168,R,느티나무,,,
169,R,느티나무,,,
169,R,팽나무,,,
170,R,물푸레나무,,,
171,R,때죽나무,,,
172,R,꾸지뽕나무,,,
173,R,때죽나무,,,
173,R,개비자나무,,,
174,R,개나리,,,
175,R,붉나무,,,
176,R,으름덩굴,,,
177,R,개나리,,,
177,R,층층나무,,,
178,R,산검양옻나무,,,
179,R,병꽃나무,,,
180,R,-,,,
181,R,때죽나무,,,
182,R,산벚나무,,,
182,R,쥐똥나무,,,
182,R,노린재나무,,,
183,R,산벚나무,,,
183,R,노린재나무,,,
184,R,산벚나무,,,
185,R,산벚나무,,,
186,R,산벚나무,,,
186,R,때죽나무,,,
187,R,때죽나무,,,
187,R,느릅나무,,,
188,R,비목나무,,,
188,R,때죽나무,,,
189,R,비목나무,,,
189,R,팽나무,,,
190,R,때죽나무,,,
191,R,느티나무,,,
191,R,신나무,,,
192,R,산벚나무,,,
193,R,꾸지뽕나무,,,
194,R,때죽나무,,,
194,R,꾸지뽕나무,,,
195,R,꾸지뽕나무,,,
195,R,꾸지뽕나무,,,
196,R,산뽕나무,,,
197,R,사방오리,,,
198,R,싸리,,,
199,R,비목나무,,,
200,R,사방오리,,,
