구간,좌우,종명,개화,결실,비고
801,R,산뽕나무,,,
801,R,말채나무,,,
802,R,산벚나무,,,
802,R,생강나무,,,
803,R,생강나무,,,
803,R,쇠물푸레나무,,,
804,R,쇠물푸레나무,,,
805,R,생강나무,,,
805,R,물푸레나무,,,
805,R,물푸레나무,,,
805,R,쇠물푸레나무,,,
806,R,조록싸리,,,
807,R,참회나무,,,
807,R,말채나무,,,
808,R,생강나무,,,
809,R,물참대,,,
809,R,산벚나무,,,
810,R,노린재나무,,,
810,R,사람주나무,,,
811,R,단풍나무,,,
811,R,조릿대,,,
812,R,때죽나무,,,
812,R,때죽나무,,,군락
812,R,산딸나무,,,
813,R,물푸레나무,,,
813,R,노린재나무,,,
814,R,개암나무,,,
814,R,신갈나무,,,
815,R,팥배나무,,,
815,R,조릿대,,,
815,R,개암나무,,,
816,R,신갈나무,,,
817,R,노린재나무,,,
817,R,때죽나무,,,
817,R,단풍나무,,,
818,R,물푸레나무,,,
819,R,생강나무,,,
819,R,단풍나무,,,
819,R,때죽나무,,,
820,R,덜꿩나무,,1,
820,R,비목나무,,,
820,R,때죽나무,,,
821,R,신갈나무,,,
821,R,때죽나무,,,
821,R,생강나무,,,
821,R,때죽나무,,,
822,R,때죽나무,,,
822,R,졸참나무,,,
823,R,조릿대,,,
824,R,신갈나무,,,
824,R,신갈나무,,,
824,R,당단풍나무,,,
825,R,산딸나무,,,
825,R,산딸나무,,,
826,R,신갈나무,,,
826,R,층층나무,,,
826,R,때죽나무,,,
827,R,조릿대,,,
827,R,신갈나무,,,
827,R,신갈나무,,,
828,R,생강나무,,,
828,R,신갈나무,,,
828,R,때죽나무,,,
828,R,노린재나무,,,
829,R,신갈나무,,,
829,R,산벚나무,,,
829,R,비목나무,,,
830,R,신갈나무,,,
830,R,신갈나무,,,
830,R,때죽나무,,,
831,R,신갈나무,,,
831,R,쇠물푸레나무,,,
831,R,신갈나무,,,
832,R,-,,,
833,R,노린재나무,,,
834,R,조릿대,,,
834,R,비목나무,,,
