구간,경도,위도,고도
401,126.981864,35.120289,505
402,126.981889,35.120302,505
403,126.981946,35.120305,505
404,126.981951,35.12029,505
405,126.982016,35.120273,510
406,126.982058,35.120283,513
407,126.982082,35.120266,513
408,126.982062,35.120237,513
409,126.982117,35.120225,513
410,126.982161,35.120228,513
411,126.982185,35.120196,513
412,126.982209,35.120173,513
413,126.982238,35.120158,513
414,126.982258,35.120141,513
415,126.982275,35.120134,513
416,126.982301,35.120111,513
417,126.982334,35.120098,522
418,126.98234,35.12006,522
419,126.982416,35.120056,522
420,126.982389,35.120046,522
421,126.982398,35.12001,522
422,126.982466,35.120007,524
423,126.982505,35.119987,524
424,126.982525,35.119967,524
425,126.982546,35.119959,524
426,126.982551,35.11994,524
427,126.982566,35.119906,524
428,126.982583,35.1199,524
429,126.982596,35.119902,533
430,126.982627,35.119858,533
431,126.982644,35.11985,533
432,126.982678,35.119818,533
433,126.982715,35.119794,533
434,126.982734,35.119788,533
435,126.982753,35.119761,533
436,126.982778,35.119742,533
437,126.982784,35.11974,533
438,126.982828,35.119714,535
439,126.982837,35.119716,535
440,126.982874,35.119706,546
441,126.982914,35.119672,546
442,126.982939,35.119659,546
443,126.982954,35.1196,546
444,126.98297,35.119592,546
445,126.98297,35.119589,546
446,126.982999,35.119554,546
447,126.983032,35.119534,546
448,126.983044,35.119544,546
449,126.983045,35.119521,546
450,126.983075,35.119463,546
451,126.98308,35.119466,546
452,126.983108,35.119435,553
453,126.983173,35.119394,563
454,126.98317,35.119412,563
455,126.983202,35.119376,563
456,126.983256,35.119393,563
457,126.983305,35.119384,563
458,126.983331,35.119366,563
459,126.983354,35.119366,563
460,126.983412,35.119341,563
461,126.983477,35.119281,571
462,126.983503,35.119279,571
463,126.983516,35.119287,571
464,126.983524,35.119297,571
465,126.98358,35.119287,571
466,126.983611,35.119298,571
467,126.983634,35.119294,571
468,126.983682,35.119273,571
469,126.983771,35.119245,576
470,126.983841,35.119233,576
471,126.983859,35.119233,576
472,126.983857,35.11923,576
473,126.983958,35.119223,576
474,126.983962,35.119222,576
475,126.983963,35.119221,576
476,126.983987,35.119237,582
477,126.983989,35.119235,582
478,126.983988,35.119237,582
479,126.983988,35.119237,582
480,126.983995,35.119237,582
481,126.984015,35.119216,582
482,126.984048,35.1192,582
483,126.984099,35.119181,582
484,126.984097,35.119184,582
485,126.984118,35.119177,582
486,126.984154,35.119165,589
487,126.984162,35.119164,589
488,126.984232,35.11912,589
489,126.984249,35.119108,589
490,126.984259,35.119071,599
491,126.984261,35.119028,599
492,126.984261,35.119026,599
493,126.984274,35.119016,599
494,126.984288,35.118987,599
495,126.984294,35.118968,599
496,126.9843,35.118948,599
497,126.985003,35.119052,607
498,126.985033,35.119048,607
499,126.985113,35.11905,612
500,126.985137,35.119049,612
