구간,좌우,종명,개화,결실,비고
301,L,-,,,
302,L,쥐똥나무,,,
303,L,-,,,
304,L,괴불나무,,,
305,L,굴참나무,,,
306,L,때죽나무,,,
306,L,졸참나무,,,
307,L,비목나무,,,
307,L,졸참나무,,,
307,L,개암나무,,,
308,L,졸참나무,,,
308,L,때죽나무,,,
309,L,보리수나무,,,
309,L,비목나무,,,
310,L,비목나무,,,
311,L,때죽나무,,,
312,L,산벚나무,,,
313,L,단풍나무,,,
313,L,때죽나무,,,
313,L,비목나무,,,
314,L,쥐똥나무,,,
315,L,비목나무,,,
316,L,꾸지뽕나무,,,
317,L,-,,,
318,L,-,,,
319,L,싸리,,,
320,L,-,,,
321,L,-,,,
322,L,-,,,
323,L,-,,,
324,L,싸리,,,
325,L,-,,,
326,L,-,,,
327,L,편백,,,
328,L,편백,,,
329,L,-,,,
330,L,팽나무,,,
330,L,편백,,,
331,L,편백,,,
332,L,-,,,
333,L,때죽나무,,,
333,L,비목나무,,,
334,L,꾸지뽕나무,,,
335,L,꾸지뽕나무,,,
335,L,꾸지뽕나무,,,
336,L,으름덩굴,,,
337,L,꾸지뽕나무,,,
338,L,꾸지뽕나무,,,
339,L,산뽕나무,,,
340,L,산벚나무,,,
341,L,삼나무,,,
342,L,삼나무,,,
342,L,삼나무,,,
342,L,삼나무,,,
343,L,편백,,,
343,L,때죽나무,,,
344,L,-,,,
345,L,-,,,
346,L,국수나무,,,
347,L,-,,,
348,L,-,,,
349,L,때죽나무,,,
350,L,팽나무,,,
351,L,상산,,,
352,L,버드나무,,,
353,L,때죽나무,,,
353,L,상산,,,
354,L,상산,,,
354,L,버드나무,,,
355,L,괴불나무,,,
356,L,버드나무,,,
356,L,때죽나무,,,
357,L,물푸레나무,,,
358,L,때죽나무,,,
358,L,때죽나무,,,
359,L,팽나무,,,
359,L,이대,,,
359,L,때죽나무,,,
360,L,상산,,,
360,L,이대,,,
361,L,때죽나무,,,
361,L,이대,,,
362,L,이대,,,
362,L,때죽나무,,,
363,L,상산,,,
363,L,이대,,,
364,L,이대,,,
364,L,때죽나무,,,
365,L,이대,,,
365,L,때죽나무,,,
366,L,때죽나무,,,
366,L,이대,,,
367,L,이나무,,,
367,L,때죽나무,,,
367,L,왕버들,,,
368,L,이대,,,
368,L,때죽나무,,,
369,L,버드나무,,,
369,L,이대,,,
370,L,이대,,,
371,L,때죽나무,,,
371,L,때죽나무,,,
372,L,때죽나무,,,
373,L,때죽나무,,,
373,L,때죽나무,,,
374,L,굴참나무,,,
374,L,때죽나무,,,
375,L,때죽나무,,,
376,L,때죽나무,,,
376,L,때죽나무,,,
377,L,때죽나무,,,
378,L,때죽나무,,,
378,L,때죽나무,,,
379,L,때죽나무,,,
380,L,국수나무,,,
381,L,때죽나무,,,
382,L,때죽나무,,,
383,L,때죽나무,,,
384,L,때죽나무,,,
385,L,조릿대,,,
385,L,때죽나무,,,
385,L,때죽나무,,,
386,L,때죽나무,,,
387,L,소나무,,,
387,L,때죽나무,,,
387,L,때죽나무,,,
388,L,졸참나무,,,
389,L,조릿대,,,
390,L,때죽나무,,,
390,L,때죽나무,,,
390,L,조릿대,,,
391,L,졸참나무,,,
391,L,때죽나무,,,
392,L,조릿대,,,
393,L,때죽나무,,,
393,L,졸참나무,,,
394,L,때죽나무,,,
394,L,조릿대,,,
395,L,때죽나무,,,
396,L,때죽나무,,,
397,L,서어나무,,,
397,L,서어나무,,,
398,L,-,,,
399,L,때죽나무,,,
400,L,조릿대,,,
