구간,경도,위도,고도
601,126.988554,35.118756,669
602,126.988582,35.118743,669
603,126.988604,35.118735,669
604,126.988616,35.118736,669
605,126.988653,35.118735,669
606,126.988677,35.118738,669
607,126.988715,35.118718,682
608,126.98873,35.118732,682
609,126.988789,35.118722,682
610,126.988834,35.118699,682
611,126.988818,35.118669,682
612,126.988811,35.118642,682
613,126.988858,35.118649,682
614,126.988887,35.118645,682
615,126.988912,35.118616,663
616,126.988931,35.118622,682
617,126.988963,35.118626,682
618,126.989006,35.118641,684
619,126.98905,35.118626,684
620,126.989112,35.11863,684
621,126.989146,35.118628,684
622,126.989189,35.118628,684
623,126.989214,35.11864,684
624,126.989233,35.118628,684
625,126.98923,35.118617,663
626,126.989252,35.118609,663
627,126.989281,35.118602,675
628,126.989327,35.118626,685
629,126.989353,35.118618,675
630,126.989381,35.118605,675
631,126.989422,35.118619,675
632,126.989446,35.118624,685
633,126.989466,35.118629,685
634,126.989523,35.118638,685
635,126.989552,35.118653,696
636,126.989583,35.118653,696
637,126.989611,35.118649,696
638,126.989636,35.118658,696
639,126.989723,35.11869,696
640,126.989787,35.118696,696
641,126.98981,35.118709,703
642,126.989808,35.118691,703
643,126.989823,35.118704,703
644,126.989849,35.118725,703
645,126.989873,35.118733,703
646,126.989909,35.118725,703
647,126.989922,35.118731,703
648,126.989918,35.118729,703
649,126.989916,35.118741,703
650,126.989954,35.11876,703
651,126.989983,35.118775,703
652,126.990001,35.118787,703
653,126.990053,35.118779,703
654,126.990071,35.118774,703
655,126.990094,35.118777,703
656,126.990129,35.118778,703
657,126.990171,35.118782,703
658,126.990202,35.118778,703
659,126.990215,35.118788,703
660,126.99025,35.118792,703
661,126.990259,35.118806,703
662,126.990308,35.1188,703
663,126.990349,35.118833,703
664,126.990364,35.118845,703
665,126.990426,35.118866,703
666,126.99043,35.118866,703
667,126.990485,35.118851,703
668,126.990479,35.118861,703
669,126.990541,35.118876,703
670,126.990553,35.118873,703
671,126.990585,35.118888,703
672,126.990603,35.118907,715
673,126.990622,35.118921,715
674,126.990635,35.118938,715
675,126.990648,35.118962,713
676,126.990677,35.118971,713
677,126.990742,35.118973,713
678,126.990779,35.118993,713
679,126.990833,35.11899,713
680,126.990839,35.118991,713
681,126.990859,35.118971,713
682,126.990898,35.118966,713
683,126.990917,35.118952,713
684,126.990948,35.118962,715
685,126.990998,35.118951,715
686,126.991032,35.118959,715
687,126.991063,35.11896,715
688,126.991074,35.118951,715
689,126.991118,35.118948,715
690,126.991187,35.118955,715
691,126.991204,35.118939,721
692,126.991215,35.118948,721
693,126.991257,35.118949,721
694,126.99127,35.118937,721
695,126.991334,35.11893,721
696,126.991344,35.118938,721
697,126.991391,35.118925,721
698,126.991421,35.11893,721
699,126.991441,35.118927,721
700,126.991463,35.118924,721
