구간,좌우,종명,개화,결실,비고
901,L,조릿대,,,
901,L,때죽나무,,,
901,L,회잎나무,,,
902,L,국수나무,,,
902,L,때죽나무,,,
902,L,조릿대,,,
903,L,비목나무,,,
903,L,물푸레나무,,,
903,L,조릿대,,,
904,L,조릿대,,,
904,L,생강나무,,,
904,L,노린재나무,,,
904,L,산뽕나무,,,
905,L,고추나무,,,
905,L,국수나무,,,
905,L,철쭉sp.,,,
906,L,비목나무,,,
906,L,노린재나무,,,
906,L,산뽕나무,,,
907,L,노린재나무,,,
908,L,조릿대,,,
909,L,조릿대,,,
910,L,회나무,,,
910,L,때죽나무,,,
910,L,비목나무,,,
910,L,때죽나무,,,
910,L,병꽃나무,,,
910,L,조릿대,,,
911,L,신갈나무,,,
911,L,국수나무,,,
911,L,조릿대,,,
912,L,조릿대,,,
912,L,비목나무,,,
913,L,조릿대,,,
913,L,당단풍나무,,,
914,L,당단풍나무,,,
914,L,비목나무,,,
914,L,단풍나무,,,
915,L,당단풍나무,,,
915,L,신갈나무,,,
916,L,신갈나무,,,
917,L,회잎나무,,,
917,L,비목나무,,,
918,L,신갈나무,,,
918,L,물푸레나무,,,
919,L,개암나무,,,
919,L,개암나무,,,
920,L,조릿대,,,
921,L,참빗살나무,,,
922,L,노린재나무,,,
922,L,신갈나무,,,
922,L,때죽나무,,,
923,L,노린재나무,,,
924,L,조릿대,,,
925,L,신갈나무,,,
925,L,검팽나무,,,
925,L,조릿대,,,
925,L,물푸레나무,,,
926,L,조릿대,,,
926,L,신갈나무,,,
926,L,생강나무,,,
926,L,때죽나무,,,
927,L,생강나무,,,
927,L,신갈나무,,,
928,L,물푸레나무,,,
928,L,비목나무,,,
929,L,국수나무,,,
929,L,비목나무,,,
930,L,철쭉sp.,,,
930,L,비목나무,,,
930,L,산벚나무,,,
931,L,신갈나무,,,
931,L,신갈나무,,,
931,L,신갈나무,,,
931,L,신갈나무,,,
931,L,비목나무,,,
932,L,국수나무,,,
932,L,신갈나무,,,
932,L,때죽나무,,,
933,L,국수나무,,,
933,L,신갈나무,,,
934,L,비목나무,,,
934,L,신갈나무,,,
935,L,비목나무,,,
935,L,신갈나무,,,
936,L,비목나무,,,
936,L,신갈나무,,,
937,L,때죽나무,,,
937,L,생강나무,,,
938,L,생강나무,,,
938,L,때죽나무,,,
938,L,신갈나무,,,
938,L,비목나무,,,
939,L,신갈나무,,,
939,L,함박꽃나무,,,
939,L,신갈나무,,,
940,L,신갈나무,,,
941,L,신갈나무,,,
941,L,때죽나무,,,
942,L,회나무,,1,p12-14
942,L,노린재나무,,,
943,L,신갈나무,,,
943,L,신갈나무,,,
943,L,때죽나무,,,
944,L,당단풍나무,,,
945,L,때죽나무,,,
946,L,국수나무,,,
947,L,비목나무,,,
947,L,개암나무,,,
948,L,때죽나무,,,
948,L,비목나무,,,
948,L,때죽나무,,,
949,L,산뽕나무,,,
950,L,때죽나무,,,
950,L,때죽나무,,,
951,L,산뽕나무,,,
951,L,신갈나무,,,
951,L,비목나무,,,
952,L,신갈나무,,,
952,L,때죽나무,,,
953,L,국수나무,,,
953,L,신갈나무,,,
953,L,때죽나무,,,
954,L,산벚나무,,,
954,L,비목나무,,,
954,L,신갈나무,,,
955,L,비목나무,,,
955,L,노린재나무,,,
955,L,때죽나무,,,
956,L,신갈나무,,,
956,L,노린재나무,,,
956,L,콩배나무,,,
957,L,비목나무,,,
957,L,때죽나무,,,
957,L,때죽나무,,,
958,L,산뽕나무,,,
959,L,당단풍나무,,,
959,L,호랑버들,,,
959,L,비목나무,,,
960,L,때죽나무,,,
961,L,참빗살나무,,,
961,L,국수나무,,,
962,L,팥배나무,,,
963,L,노린재나무,,,
964,L,산뽕나무,,,
965,L,노린재나무,,,
965,L,산뽕나무,,,
966,L,물푸레나무,,,
967,L,병꽃나무,,,
967,L,으름덩굴,,,
968,L,병꽃나무,,,
968,L,으름덩굴,,,
969,L,비목나무,,,
970,L,산뽕나무,,,
971,L,산뽕나무,,,
972,L,병꽃나무,,,
972,L,노린재나무,,,
973,L,고추나무,,,
973,L,노린재나무,,,
973,L,때죽나무,,,
974,L,노린재나무,,,
974,L,신갈나무,,,
975,L,회잎나무,,,
975,L,산뽕나무,,,
976,L,산뽕나무,,,
977,L,병꽃나무,,,
978,L,병꽃나무,,,
978,L,철쭉sp.,,,
979,L,콩배나무,,,
979,L,콩배나무,,,
979,L,철쭉sp.,,,
980,L,콩배나무,,,
980,L,신갈나무,,,
981,L,팥배나무,,,
981,L,철쭉sp.,,,
982,L,철쭉sp.,,,
982,L,노린재나무,,,
982,L,신갈나무,,,
983,L,당단풍나무,,,
983,L,신갈나무,,,
984,L,산뽕나무,,,
984,L,신갈나무,,,
985,L,호랑버들,,,
985,L,노린재나무,,,
985,L,신갈나무,,,
986,L,노린재나무,,,
986,L,노린재나무,,,
987,L,노린재나무,,,
987,L,신갈나무,,,
987,L,노린재나무,,,
988,L,산뽕나무,,,
988,L,산뽕나무,,,
989,L,국수나무,,,
989,L,개암나무,,,
989,L,신갈나무,,,
989,L,조록싸리,,,
990,L,노린재나무,,,
991,L,신갈나무,,,
991,L,조록싸리,,,
992,L,철쭉sp.,,,
993,L,철쭉sp.,,,
994,L,찔레나무,,,
995,L,-,,,
996,L,-,,,
997,L,-,,,
998,L,-,,,
