구간,경도,위도,고도
301,126.979417,35.121835,445
302,126.979441,35.12182,445
303,126.979496,35.121746,445
304,126.979542,35.121728,450
305,126.979624,35.121657,449
306,126.979627,35.121657,449
307,126.979627,35.121655,449
308,126.97964,35.121647,449
309,126.979688,35.121598,449
310,126.979689,35.121599,449
311,126.979696,35.121583,449
312,126.97972,35.121549,449
313,126.979719,35.121521,449
314,126.979727,35.121519,449
315,126.979728,35.121514,449
316,126.979739,35.121511,449
317,126.979771,35.121481,449
318,126.979804,35.121471,449
319,126.979841,35.121462,457
320,126.979876,35.12144,457
321,126.979886,35.121434,457
322,126.979931,35.121419,457
323,126.979947,35.121422,457
324,126.980025,35.121392,455
325,126.980055,35.121376,455
326,126.980071,35.121359,455
327,126.980114,35.121389,467
328,126.980157,35.121376,467
329,126.980176,35.121332,467
330,126.980176,35.121333,467
331,126.980227,35.121319,467
332,126.980259,35.121305,467
333,126.980279,35.121302,467
334,126.980299,35.121278,467
335,126.980316,35.121286,467
336,126.98034,35.121284,467
337,126.980364,35.121256,477
338,126.980386,35.121227,477
339,126.980386,35.121186,477
340,126.98041,35.121149,477
341,126.980414,35.121126,477
342,126.980432,35.121111,465
343,126.980435,35.121089,465
344,126.980441,35.121046,465
345,126.980451,35.12106,465
346,126.980505,35.121033,465
347,126.980532,35.121014,465
348,126.98056,35.120991,465
349,126.980611,35.120979,465
350,126.980654,35.120989,473
351,126.980677,35.120984,473
352,126.980694,35.120976,473
353,126.980708,35.120969,473
354,126.980742,35.120956,473
355,126.980857,35.120924,473
356,126.980933,35.120887,481
357,126.980971,35.120878,481
358,126.981042,35.120886,481
359,126.98106,35.120885,481
360,126.981066,35.120882,481
361,126.981074,35.120883,481
362,126.981085,35.120887,481
363,126.981099,35.120892,481
364,126.981115,35.120908,481
365,126.98114,35.120898,481
366,126.981162,35.120908,481
367,126.981191,35.120916,481
368,126.98121,35.120909,490
369,126.981232,35.120898,490
370,126.98126,35.120896,490
371,126.981281,35.120879,490
372,126.981294,35.120878,490
373,126.981341,35.12086,490
374,126.981368,35.120825,489
375,126.981391,35.120812,489
376,126.981407,35.120756,489
377,126.981417,35.120709,489
378,126.981425,35.120695,489
379,126.981427,35.120686,489
380,126.981435,35.120672,489
381,126.981452,35.120652,489
382,126.98145,35.120625,489
383,126.98147,35.120599,489
384,126.981507,35.120549,501
385,126.981521,35.120563,501
386,126.981549,35.120544,501
387,126.981563,35.120543,501
388,126.981584,35.120539,501
389,126.981603,35.120521,501
390,126.981614,35.12047,501
391,126.981658,35.120451,501
392,126.981672,35.120439,501
393,126.981717,35.120428,501
394,126.981771,35.120398,505
395,126.981779,35.120402,505
396,126.981799,35.120397,505
397,126.981835,35.120399,505
398,126.981862,35.120395,505
399,126.981877,35.120366,505
400,126.981883,35.120334,505
