구간,좌우,종명,개화,결실,비고
401,L,때죽나무,,,
402,L,때죽나무,,,
402,L,조릿대,,,
403,L,때죽나무,,,
404,L,서어나무,,,
404,L,서어나무,,,
405,L,졸참나무,,,
406,L,때죽나무,,,
406,L,삼나무,,,
406,L,당단풍나무,,,
407,L,때죽나무,,,
407,L,당단풍나무,,,
408,L,졸참나무,,,
408,L,때죽나무,,,
408,L,조릿대,,,
409,L,조릿대,,,
409,L,졸참나무,,,
409,L,때죽나무,,,
410,L,조릿대,,,
410,L,때죽나무,,,
410,L,때죽나무,,,
410,L,졸참나무,,,
411,L,산벚나무,,,
412,L,팥배나무,,,
412,L,노린재나무,,,
413,L,때죽나무,,,
414,L,조릿대,,,
414,L,때죽나무,,,
415,L,조릿대,,,
415,L,때죽나무,,,
416,L,졸참나무,,,
416,L,때죽나무,,,
417,L,때죽나무,,,
418,L,때죽나무,,,
418,L,산벚나무,,,
418,L,때죽나무,,,
419,L,때죽나무,,,
419,L,졸참나무,,,
419,L,때죽나무,,,
420,L,졸참나무,,,
420,L,때죽나무,,,
421,L,때죽나무,,,
421,L,산뽕나무,,,
422,L,졸참나무,,,
423,L,때죽나무,,,
423,L,졸참나무,,,
424,L,졸참나무,,,
424,L,때죽나무,,,
425,L,털진달래,,,
426,L,졸참나무,,,
427,L,졸참나무,,,
427,L,졸참나무,,,
428,L,때죽나무,,,
428,L,때죽나무,,,
429,L,병꽃나무,,,
430,L,졸참나무,,,
430,L,노린재나무,,,
431,L,-,,,
432,L,국수나무,,,
433,L,노린재나무,,,
434,L,때죽나무,,,
435,L,싸리,,,
436,L,졸참나무,,,
437,L,산벚나무,,,
437,L,졸참나무,,,
438,L,때죽나무,,,
438,L,졸참나무,,,
439,L,졸참나무,,,
440,L,때죽나무,,,
441,L,졸참나무,,,
442,L,졸참나무,,,
442,L,산벚나무,,,
443,L,졸참나무,,,
443,L,국수나무,,,
444,L,졸참나무,,,
445,L,자귀나무,,,
445,L,소나무,,,
446,L,층층나무,,,
447,L,때죽나무,,,
448,L,-,,,
449,L,병꽃나무,,,
450,L,산벚나무,,,
451,L,-,,,
452,L,때죽나무,,,
452,L,팽나무,,,
453,L,-,,,
454,L,물푸레나무,,,
455,L,꾸지뽕나무,,,
456,L,층층나무,,,
456,L,산벚나무,,,
457,L,때죽나무,,,
458,L,꾸지뽕나무,,,
459,L,으름덩굴,,,
460,L,보리수나무,,,
461,L,때죽나무,,,
462,L,때죽나무,,,
463,L,노린재나무,,,
463,L,때죽나무,,,
464,L,물푸레나무,,,
465,L,때죽나무,,,
466,L,노린재나무,,,
466,L,때죽나무,,,
466,L,때죽나무,,,
467,L,-,,,
468,L,때죽나무,,,
469,L,때죽나무,,,
470,L,꾸지뽕나무,,,
471,L,층층나무,,,
471,L,때죽나무,,,
472,L,산벚나무,,,
473,L,때죽나무,,,
473,L,때죽나무,,,
474,L,졸참나무,,,
474,L,물푸레나무,,,
475,L,때죽나무,,,
476,L,꾸지뽕나무,,,
477,L,층층나무,,,
477,L,노린재나무,,,
478,L,산벚나무,,,
478,L,노린재나무,,,
479,L,층층나무,,,
479,L,때죽나무,,,
480,L,물푸레나무,,,
481,L,물푸레나무,,,
481,L,노린재나무,,,
482,L,때죽나무,,,
482,L,물푸레나무,,,
483,L,때죽나무,,,
484,L,때죽나무,,,
484,L,병꽃나무,,,
485,L,병꽃나무,,,
486,L,병꽃나무,,,
487,L,병꽃나무,,,
488,L,싸리,,,
489,L,국수나무,,,
490,L,때죽나무,,,
491,L,때죽나무,,,
492,L,때죽나무,,,
492,L,때죽나무,,,
492,L,때죽나무,,,
493,L,산벚나무,,,
494,L,찔레나무,,,
495,L,-,,,
496,L,-,,,
497,L,-,,,
498,L,-,,,
499,L,-,,,
500,L,-,,,
