구간,좌우,종명,개화,결실,비고
201,L,왕대,,,
202,L,왕대,,,
203,L,왕대,,,
203,L,가막살나무,,,
204,L,왕대,,,
204,L,때죽나무,,,
205,L,왕대,,,
206,L,왕대,,,
206,L,팽나무,,,
207,L,왕대,,,
208,L,왕대,,,
209,L,왕대,,,
210,L,꾸지뽕나무,,,
211,L,왕대,,,
211,L,꾸지뽕나무,,,
212,L,왕대,,,
213,L,왕대,,,
213,L,꾸지뽕나무,,,
214,L,꾸지뽕나무,,,
214,L,꾸지뽕나무,,,
215,L,왕대,,,
216,L,왕대,,,
217,L,왕대,,,
217,L,때죽나무,,,
218,L,왕대,,,
219,L,왕대,,,
220,L,왕대,,,
221,L,왕대,,,
222,L,왕대,,,
223,L,왕대,,,
224,L,왕대,,,
225,L,층층나무,,,
225,L,굴참나무,,,
226,L,-,,,
227,L,팽나무,,,
227,L,신나무,,,
228,L,신나무,,,
229,L,찔레나무,,,
230,L,찔레나무,,,
231,L,때죽나무,,,
231,L,신나무,,,
232,L,찔레나무,,,
233,L,찔레나무,,,
234,L,꾸지뽕나무,,,
235,L,때죽나무,,,
236,L,꾸지뽕나무,,,
237,L,때죽나무,,,
238,L,버드나무,,,
239,L,때죽나무,,,
240,L,버드나무,,,
240,L,팽나무,,,
240,L,꾸지뽕나무,,,
241,L,-,,,
242,L,꾸지뽕나무,,,
243,L,상수리나무,,,
244,L,때죽나무,,,
244,L,상수리나무,,,
245,L,작살나무,,1,
246,L,신나무,,,
247,L,상산,,,
247,L,때죽나무,,,
248,L,팽나무,,,
248,L,상수리나무,,,
248,L,상수리나무,,,
249,L,때죽나무,,,
250,L,상수리나무,,,
250,L,상수리나무,,,
250,L,상수리나무,,,
251,L,느티나무,,,
251,L,상수리나무,,,
252,L,상수리나무,,,
253,L,느티나무,,,
253,L,회잎나무,,,
254,L,상수리나무,,,
255,L,쥐똥나무,,,
256,L,비목나무,,,
257,L,때죽나무,,,
257,L,느티나무,,,
258,L,상수리나무,,,
258,L,상수리나무,,,
259,L,회잎나무,,1,
260,L,상수리나무,,,
260,L,상수리나무,,,
260,L,상수리나무,,,
261,L,산벚나무,,,
261,L,상수리나무,,,
262,L,때죽나무,,,
263,L,상수리나무,,,
264,L,신나무,,,
265,L,때죽나무,,,
266,L,-,,,
267,L,비목나무,,,
268,L,사람주나무,,,
268,L,조릿대,,,
269,L,조릿대,,,
270,L,때죽나무,,,
270,L,조릿대,,,
271,L,조릿대,,,
271,L,산벚나무,,,
271,L,상수리나무,,,
272,L,소나무,,,
273,L,고추나무,,,
274,L,개비자나무,,,
275,L,졸참나무,,,
276,L,때죽나무,,,
276,L,상수리나무,,,
277,L,때죽나무,,,
277,L,상수리나무,,,
278,L,상수리나무,,,
278,L,신나무,,,
279,L,회잎나무,,,
279,L,때죽나무,,,
280,L,회잎나무,,,
280,L,으름덩굴,,,
280,L,느티나무,,,
280,L,상수리나무,,,
281,L,상수리나무,,,
281,L,때죽나무,,,
282,L,상수리나무,,,
283,L,가막살나무,,,
283,L,상수리나무,,,
284,L,상수리나무,,,
284,L,때죽나무,,,
284,L,회잎나무,,,
285,L,상수리나무,,,
285,L,상수리나무,,,
286,L,상수리나무,,,
286,L,상수리나무,,,
287,L,상수리나무,,,
288,L,졸참나무,,,
289,L,신나무,,,
289,L,상수리나무,,,
290,L,층층나무,,,
291,L,덜꿩나무,,1,
292,L,-,,,
293,L,산벚나무,,,
294,L,국수나무,,,
295,L,국수나무,,,
295,L,굴참나무,,,
296,L,굴참나무,,,
297,L,굴참나무,,,
298,L,졸참나무,,,
299,L,때죽나무,,,
299,L,때죽나무,,,
300,L,굴참나무,,,
