구간,좌우,종명,개화,결실,비고
101,L,-,,,
102,L,산벚나무,,,
103,L,때죽나무,,,
103,L,비목나무,,,
103,L,꾸지뽕나무,,,
104,L,까마귀밥나무,,1,
104,L,으름덩굴,,,
104,L,말채나무,,,
105,L,팽나무,,,
105,L,산가막살나무,,,
106,L,감태나무,,,
106,L,신나무,,,
107,L,산벚나무,,,
107,L,광대싸리,,,
108,L,찔레나무,,,
109,L,왕대,,,
110,L,왕대,,,
111,L,왕대,,,
112,L,찔레나무,,,
113,L,-,,,
114,L,-,,,
115,L,-,,,
116,L,찔레나무,,,
117,L,왕대,,,
118,L,팽나무,,,
118,L,왕대,,,
119,L,왕대,,,
120,L,왕대,,,
121,L,왕대,,,
122,L,왕대,,,
123,L,왕대,,,
123,L,느릅나무,,,
124,L,왕대,,,
125,L,때죽나무,,,
126,L,왕대,,,
127,L,왕대,,,
128,L,쥐똥나무,,,
129,L,꾸지뽕나무,,,
129,L,괴불나무,,,
130,L,찔레나무,,,
131,L,버드나무,,,
132,L,버드나무,,,
133,L,-,,,
134,L,싸리,,,
135,L,찔레나무,,,
136,L,꾸지뽕나무,,,
137,L,산벚나무,,,
138,L,졸참나무,,,
138,L,덜꿩나무,,,
139,L,때죽나무,,,
140,L,꾸지뽕나무,,,
141,L,국수나무,,,
142,L,-,,,
143,L,-,,,
144,L,비목나무,,,
145,L,꾸지뽕나무,,,
145,L,비목나무,,,
146,L,꾸지뽕나무,,,
147,L,때죽나무,,,
148,L,꾸지뽕나무,,,
149,L,꾸지뽕나무,,,
149,L,상산,,,
150,L,때죽나무,,,
151,L,상산,,,
152,L,꾸지뽕나무,,,
152,L,팽나무,,,
153,L,팽나무,,,
153,L,꾸지뽕나무,,,
154,L,꾸지뽕나무,,,
154,L,꾸지뽕나무,,,
154,L,꾸지뽕나무,,,
155,L,꾸지뽕나무,,,표찰
156,L,때죽나무,,,
157,L,꾸지뽕나무,,,
158,L,꾸지뽕나무,,,
159,L,꾸지뽕나무,,,
160,L,꾸지뽕나무,,,
161,L,꾸지뽕나무,,,
162,L,꾸지뽕나무,,,
163,L,꾸지뽕나무,,,
164,L,꾸지뽕나무,,,
164,L,줄사철나무,,,
165,L,꾸지뽕나무,,,
165,L,느티나무,,,
166,L,느티나무,,,
167,L,산벚나무,,,
168,L,병꽃나무,,,
169,L,국수나무,,,
169,L,비목나무,,,
170,L,때죽나무,,,
171,L,국수나무,,,
171,L,광대싸리,,,
172,L,국수나무,,,
172,L,팽나무,,,
173,L,국수나무,,,
173,L,신나무,,,
173,L,비목나무,,,
174,L,-,,,
175,L,비목나무,,,
176,L,산벚나무,,,
177,L,찔레나무,,,
177,L,꾸지뽕나무,,,
178,L,-,,,
179,L,산벚나무,,,
180,L,-,,,
181,L,꾸지뽕나무,,,
182,L,산벚나무,,,
182,L,옻나무,,,
183,L,꾸지뽕나무,,,
184,L,때죽나무,,,
185,L,때죽나무,,,
185,L,때죽나무,,,
186,L,-,,,
187,L,괴불나무,,,
188,L,자귀나무,,,
189,L,국수나무,,,
190,L,쥐똥나무,,,
191,L,찔레나무,,,
192,L,찔레나무,,,
193,L,-,,,
194,L,-,,,
195,L,참빗살나무,,,
195,L,비목나무,,,
196,L,단풍나무,,,
197,L,사방오리,,,
198,L,사방오리,,,
198,L,왕대,,,
199,L,-,,,
200,L,왕대,,,
