구간,좌우,종명,개화,결실,비고
301,R,굴참나무,,,
301,R,편백,,,
302,R,때죽나무,,,
303,R,광대싸리,,,
304,R,가막살나무,,,
304,R,국수나무,,,
305,R,굴참나무,,,
305,R,병꽃나무,,,
306,R,가막살나무,,,
307,R,비목나무,,,
308,R,때죽나무,,,
308,R,굴참나무,,,
308,R,굴참나무,,,
309,R,때죽나무,,,
310,R,굴참나무,,,
311,R,굴참나무,,,
312,R,감태나무,,,
312,R,굴참나무,,,
313,R,때죽나무,,,
314,R,비목나무,,,
315,R,참빗살나무,,1,
316,R,단풍나무,,,
316,R,단풍나무,,,
317,R,단풍나무,,,
317,R,꾸지뽕나무,,,
318,R,단풍나무,,,
318,R,단풍나무,,,
318,R,굴참나무,,,
319,R,단풍나무,,,
319,R,단풍나무,,,
320,R,단풍나무,,,
320,R,편백,,,
321,R,단풍나무,,,
322,R,단풍나무,,,
322,R,단풍나무,,,
323,R,단풍나무,,,
323,R,단풍나무,,,
324,R,단풍나무,,,
325,R,단풍나무,,,
326,R,단풍나무,,,
327,R,단풍나무,,,
327,R,단풍나무,,,
328,R,층층나무,,,
329,R,버드나무,,,
330,R,꾸지뽕나무,,,
331,R,꾸지뽕나무,,,
332,R,-,,,
333,R,상산,,,
333,R,때죽나무,,,
334,R,단풍나무,,,
335,R,편백,,,
335,R,꾸지뽕나무,,,
336,R,꾸지뽕나무,,,
337,R,꾸지뽕나무,,,
338,R,-,,,
339,R,편백,,,
340,R,삼나무,,,
341,R,층층나무,,,
341,R,졸참나무,,,
342,R,때죽나무,,,
343,R,-,,,
344,R,-,,,
345,R,자귀나무,,,
346,R,개옻나무,,,
347,R,비목나무,,,
348,R,개잎갈나무,,,
348,R,개잎갈나무,,,
349,R,측백나무,,,
349,R,때죽나무,,,
350,R,측백나무,,,
350,R,때죽나무,,,
351,R,때죽나무,,,
352,R,굴참나무,,,
352,R,조릿대,,,
353,R,조릿대,,,
353,R,때죽나무,,,
354,R,졸참나무,,,
354,R,조릿대,,,
355,R,굴참나무,,,
355,R,조릿대,,,
356,R,때죽나무,,,
356,R,조릿대,,,
357,R,굴참나무,,,
357,R,조릿대,,,
358,R,팥배나무,,,
358,R,물푸레나무,,,
359,R,국수나무,,,
360,R,국수나무,,,
361,R,물푸레나무,,,
361,R,병꽃나무,,,
361,R,이대,,,
362,R,병꽃나무,,,
363,R,병꽃나무,,,
364,R,때죽나무,,,
365,R,졸참나무,,,
366,R,국수나무,,,
366,R,때죽나무,,,
367,R,국수나무,,,
367,R,때죽나무,,,
368,R,팥배나무,,,
368,R,때죽나무,,,
369,R,때죽나무,,,
370,R,때죽나무,,,
371,R,버드나무,,,
372,R,때죽나무,,,
373,R,때죽나무,,,
374,R,때죽나무,,,
374,R,때죽나무,,,
375,R,산벚나무,,,
376,R,때죽나무,,,
377,R,회잎나무,,,
377,R,때죽나무,,,
378,R,노린재나무,,,
378,R,층층나무,,,
379,R,병꽃나무,,,
379,R,산벚나무,,,
380,R,산뽕나무,,,
381,R,때죽나무,,,
382,R,신갈나무,,,
382,R,때죽나무,,,
383,R,때죽나무,,,
383,R,때죽나무,,,
383,R,졸참나무,,,
383,R,졸참나무,,,
384,R,때죽나무,,,
385,R,때죽나무,,,
385,R,산벚나무,,,
386,R,소나무,,,
386,R,팥배나무,,,
387,R,때죽나무,,,
387,R,졸참나무,,,
388,R,소나무,,,
389,R,팥배나무,,,
389,R,때죽나무,,,
389,R,졸참나무,,,
390,R,때죽나무,,,
390,R,소나무,,,
391,R,소나무,,,
392,R,때죽나무,,,
392,R,소나무,,,
392,R,때죽나무,,,
393,R,때죽나무,,,
394,R,산벚나무,,,
394,R,때죽나무,,,
395,R,소나무,,,
395,R,때죽나무,,,
396,R,물푸레나무,,,
397,R,소나무,,,
398,R,서어나무,,,
398,R,소나무,,,
399,R,때죽나무,,,
400,R,산벚나무,,,
