구간,경도,위도,고도
801,126.994531,35.119246,788
802,126.994549,35.11924,788
803,126.99457,35.119231,788
804,126.994595,35.119211,788
805,126.994615,35.119199,788
806,126.994612,35.11919,788
807,126.994636,35.119171,786
808,126.99465,35.119141,786
809,126.994652,35.119126,786
810,126.994634,35.119097,786
811,126.994665,35.119077,786
812,126.994669,35.119043,786
813,126.99467,35.119007,786
814,126.994683,35.118985,786
815,126.994693,35.118978,786
816,126.994695,35.118946,786
817,126.994667,35.118923,786
818,126.994677,35.118902,786
819,126.994689,35.118869,786
820,126.994692,35.118861,786
821,126.994677,35.118827,786
822,126.994691,35.118812,786
823,126.994677,35.118796,786
824,126.99466,35.118777,786
825,126.994686,35.11874,786
826,126.994744,35.118691,786
827,126.994751,35.118682,786
828,126.99478,35.11868,786
829,126.994772,35.118676,786
830,126.994769,35.118655,786
831,126.994768,35.118596,780
832,126.994834,35.118544,790
833,126.994852,35.118519,790
834,126.994837,35.118469,790
835,126.994827,35.118509,790
836,126.994822,35.118503,790
837,126.994848,35.118481,790
838,126.994852,35.118414,790
839,126.994829,35.118352,790
840,126.994857,35.118375,790
841,126.994897,35.118314,791
842,126.994913,35.118233,791
843,126.994908,35.118231,791
844,126.99491,35.118229,791
845,126.994938,35.118211,791
846,126.994941,35.11821,791
847,126.994962,35.118194,791
848,126.994958,35.118185,791
849,126.994967,35.118198,791
850,126.995003,35.118188,791
851,126.995021,35.118167,791
852,126.995021,35.118184,791
853,126.995022,35.118143,791
854,126.995063,35.118116,791
855,126.995099,35.118097,801
856,126.995116,35.118098,801
857,126.995131,35.118091,801
858,126.99516,35.11805,798
859,126.99518,35.118038,798
860,126.995167,35.118064,798
861,126.995183,35.118061,798
862,126.995254,35.117997,798
863,126.995263,35.117989,798
864,126.995288,35.117978,798
865,126.995289,35.117971,798
866,126.995279,35.117987,798
867,126.995326,35.117903,798
868,126.995356,35.1179,798
869,126.995395,35.117867,810
870,126.995431,35.11788,810
871,126.995466,35.11787,810
872,126.995476,35.117863,810
873,126.995496,35.117845,810
874,126.995503,35.117795,810
875,126.995522,35.117805,810
876,126.995548,35.117789,810
877,126.995568,35.117767,806
878,126.99558,35.117731,806
879,126.995623,35.117717,806
880,126.995654,35.117731,819
881,126.995686,35.117716,819
882,126.99573,35.117673,819
883,126.995758,35.117656,819
884,126.995765,35.117645,819
885,126.995813,35.117638,819
886,126.995845,35.117613,819
887,126.995836,35.117597,819
888,126.995861,35.117576,819
889,126.995893,35.117575,819
890,126.995912,35.117576,819
891,126.995925,35.117565,824
892,126.995947,35.117578,824
893,126.995962,35.117541,824
894,126.996028,35.117546,824
895,126.996012,35.117533,824
896,126.99603,35.117537,824
897,126.996019,35.1175,828
898,126.996073,35.11748,828
899,126.996117,35.117469,828
900,126.996107,35.117447,828
