구간,좌우,종명,개화,결실,비고
601,L,졸참나무,,,
602,L,노린재나무,,,
603,L,쥐똥나무,,,
604,L,조록싸리,,,
605,L,조록싸리,,,
606,L,-,,,
607,L,광대싸리,,,
608,L,때죽나무,,,
609,L,때죽나무,,,
609,L,찔레나무,,,
609,L,물참대,,,
610,L,찔레나무,,,
610,L,국수나무,,,
611,L,국수나무,,,
612,L,산초나무,,,
613,L,산초나무,,,
613,L,싸리,,,
614,L,찔레나무,,,
615,L,국수나무,,,
616,L,비목나무,,,
616,L,국수나무,,,
617,L,국수나무,,,
617,L,가막살나무,,,
618,L,노박덩굴,,,
618,L,싸리,,,
619,L,비목나무,,,
619,L,자귀나무,,,
620,L,싸리,,,
621,L,광대싸리,,,
622,L,찔레나무,,1,
622,L,광대싸리,,1,
623,L,-,,,
624,L,산초나무,,,
625,L,보리수나무,,,
625,L,비목나무,,,
626,L,고추나무,,,
627,L,국수나무,,,
628,L,콩배나무,,1,
628,L,국수나무,,,
629,L,싸리,,,
630,L,국수나무,,,
630,L,병꽃나무,,,
631,L,때죽나무,,,
631,L,병꽃나무,,,
632,L,싸리,,,
633,L,병꽃나무,,,
634,L,노박덩굴,,,
635,L,산초나무,,,
635,L,떡갈나무,,,
636,L,싸리,,,
637,L,병꽃나무,,,
638,L,말채나무,,,
638,L,광대싸리,,,
639,L,싸리,,,
640,L,고추나무,,,
641,L,때죽나무,,,
641,L,노린재나무,,,
641,L,노린재나무,,,
642,L,때죽나무,,,
642,L,때죽나무,,,
642,L,사람주나무,,,
643,L,때죽나무,,,
643,L,때죽나무,,,
644,L,때죽나무,,,
644,L,병꽃나무,,,
645,L,산벚나무,,,
645,L,찔레나무,,,
646,L,-,,,
647,L,산벚나무,,,
647,L,가막살나무,,,
648,L,때죽나무,,,
648,L,산벚나무,,,
649,L,때죽나무,,,
650,L,붉나무,,,
651,L,붉나무,,,
652,L,붉나무,,,
652,L,싸리,,,
652,L,때죽나무,,,
653,L,비목나무,,,
653,L,싸리,,,
653,L,조릿대,,,
654,L,산초나무,,,
655,L,물푸레나무,,,
655,L,병꽃나무,,,
655,L,싸리,,,
656,L,싸리,,,
657,L,병꽃나무,,,
658,L,산뽕나무,,,
658,L,때죽나무,,,
659,L,-,,,
660,L,싸리,,,
661,L,싸리,,,
661,L,싸리,,,
662,L,떡갈나무,,,
663,L,물푸레나무,,,
663,L,신갈나무,,,
664,L,때죽나무,,,
664,L,때죽나무,,,
665,L,신갈나무,,,
665,L,떡갈나무,,,
665,L,때죽나무,,,
665,L,때죽나무,,,
666,L,물푸레나무,,,
666,L,신갈나무,,,
667,L,때죽나무,,,
667,L,신갈나무,,,
668,L,신갈나무,,,
669,L,호랑버들,,,
669,L,물푸레나무,,,
670,L,보리수나무,,,
671,L,신갈나무,,,
672,L,신갈나무,,,
673,L,산초나무,,,
673,L,조릿대,,,
673,L,산벚나무,,,
674,L,신갈나무,,,
674,L,비목나무,,,
674,L,병꽃나무,,,
674,L,조릿대,,,
675,L,졸참나무,,,
675,L,국수나무,,,
676,L,때죽나무,,,
676,L,신갈나무,,,
677,L,국수나무,,,
678,L,신갈나무,,,
678,L,고추나무,,,
678,L,조릿대,,,
679,L,조릿대,,,
679,L,때죽나무,,,
680,L,생강나무,,,
680,L,때죽나무,,,
681,L,-,,,
682,L,-,,,
683,L,고광나무,,,
684,L,조릿대,,,
685,L,생강나무,,,
685,L,회잎나무,,1,
685,L,물푸레나무,,,
685,L,물푸레나무,,,
685,L,사람주나무,,,
686,L,비목나무,,,
686,L,물푸레나무,,,
687,L,회잎나무,,1,
688,L,회잎나무,,1,
688,L,사람주나무,,,
688,L,쥐똥나무,,,
689,L,산초나무,,,
689,L,조릿대,,,
690,L,때죽나무,,,
690,L,조릿대,,,
691,L,고로쇠나무,,,
691,L,조릿대,,,
692,L,조릿대,,,
692,L,생강나무,,,
693,L,비목나무,,,
693,L,쥐똥나무,,1,
694,L,비목나무,,,
694,L,찔레나무,,,
694,L,고추나무,,,
695,L,때죽나무,,,
695,L,고추나무,,,
696,L,개암나무,,,
696,L,고추나무,,,
696,L,때죽나무,,,
696,L,때죽나무,,,
697,L,때죽나무,,,
697,L,신갈나무,,,
697,L,비목나무,,,
698,L,국수나무,,,
698,L,보리수나무,,,
699,L,국수나무,,,
699,L,쥐똥나무,,1,
699,L,찔레나무,,,
700,L,국수나무,,,
700,L,병꽃나무,,,
