구간,좌우,종명,개화,결실,비고
1,R,느티나무,,,
2,R,병꽃나무,,,
3,R,병꽃나무,,,
3,R,느티나무,,,
4,R,병꽃나무,,,
5,R,병꽃나무,,,
6,R,단풍나무,,,
6,R,병꽃나무,,,
7,R,단풍나무,,,
7,R,병꽃나무,,,
8,R,-,,,
9,R,-,,,
10,R,-,,,
11,R,-,,,
12,R,느티나무,,,
13,R,단풍나무,,,
14,R,단풍나무,,,
15,R,단풍나무,,,
16,R,귀룽나무,,,
17,R,단풍나무,,,
18,R,단풍나무,,,
19,R,단풍나무,,,
20,R,산벚나무,,,
21,R,-,,,
22,R,싸리,,,
23,R,싸리,,,
24,R,-,,,
25,R,리기다소나무,,,
26,R,-,,,
27,R,산벚나무,,,
28,R,병꽃나무,,,
29,R,왕대,,,
29,R,병꽃나무,,,
30,R,싸리,,,
30,R,왕대,,,
31,R,왕대,,,
31,R,산벚나무,,,
32,R,왕대,,,
32,R,느티나무,,,
33,R,왕대,,,
34,R,느티나무,,,
35,R,병꽃나무,,,
35,R,단풍나무,,,
36,R,-,,,
37,R,-,,,
38,R,-,,,
39,R,단풍나무,,,
40,R,병꽃나무,,,
40,R,말채나무,,,
40,R,가래나무,,,
41,R,단풍나무,,,
41,R,가막살나무,,,
42,R,국수나무,,,
43,R,단풍나무,,,
44,R,병꽃나무,,,
44,R,병꽃나무,,,
45,R,병꽃나무,,,
46,R,병꽃나무,,,
47,R,병꽃나무,,,
48,R,단풍나무,,,
48,R,가막살나무,,1,
49,R,병꽃나무,,,
50,R,싸리,,,
51,R,단풍나무,,,
52,R,싸리,,,
53,R,산벚나무,,,
54,R,비목나무,,,
55,R,무궁화,,,
56,R,꾸지뽕나무,,,
57,R,때죽나무,,,
58,R,무궁화,,,
59,R,층층나무,,,
60,R,층층나무,,,
61,R,비목나무,,,
62,R,비목나무,,,
62,R,산벚나무,,,
62,R,층층나무,,,
62,R,느티나무,,,
63,R,때죽나무,,,
64,R,비목나무,,,
64,R,비목나무,,,
64,R,산벚나무,,,
65,R,비목나무,,,
65,R,비목나무,,,
66,R,쥐똥나무,,,
66,R,비목나무,,,
66,R,산벚나무,,,
67,R,느티나무,,,
68,R,층층나무,,,
69,R,산벚나무,,,
70,R,자귀나무,,,
70,R,병꽃나무,,,
70,R,꾸지뽕나무,,,
71,R,꾸지뽕나무,,,
72,R,꾸지뽕나무,,,
72,R,국수나무,,,
72,R,꾸지뽕나무,,,
73,R,산가막살나무,,,
73,R,산가막살나무,,,
73,R,리기다소나무,,,
74,R,무궁화,,,
75,R,무궁화,,,
76,R,층층나무,,,
76,R,무궁화,,,
77,R,무궁화,,,
77,R,층층나무,,,
77,R,병꽃나무,,,
78,R,무궁화,,,
78,R,산벚나무,,,
78,R,비목나무,,,
79,R,싸리,,,
80,R,단풍나무,,,
81,R,아까시나무,,,
81,R,신나무,,,
81,R,산뽕나무,,,
82,R,버드나무,,,
83,R,아까시나무,,,
83,R,층층나무,,,
83,R,아까시나무,,,
83,R,비목나무,,,
83,R,상수리나무,,,
83,R,산벚나무,,,
84,R,리기다소나무,,,
84,R,비목나무,,,
85,R,탱자나무,,,
85,R,으름덩굴,,,
86,R,탱자나무,,,
86,R,탱자나무,,,
86,R,상수리나무,,,
87,R,꾸지뽕나무,,,
88,R,탱자나무,,,
88,R,탱자나무,,,
89,R,상수리나무,,,
89,R,탱자나무,,,
90,R,산벚나무,,,
90,R,괴불나무,,,
90,R,탱자나무,,,
91,R,탱자나무,,,
91,R,산벚나무,,,
92,R,산벚나무,,,
92,R,산벚나무,,,
93,R,탱자나무,,,
93,R,산벚나무,,,
94,R,팽나무,,,
94,R,층층나무,,,
94,R,광대싸리,,,
95,R,굴참나무,,,
95,R,느릅나무,,,
95,R,꾸지뽕나무,,,
96,R,삼나무,,,
96,R,삼나무,,,
96,R,삼나무,,,
97,R,신갈나무,,,
97,R,꾸지뽕나무,,,
97,R,삼나무,,,
97,R,굴참나무,,,
98,R,삼나무,,,
98,R,삼나무,,,
99,R,삼나무,,,
99,R,삼나무,,,
99,R,삼나무,,,
99,R,삼나무,,,
99,R,때죽나무,,,
100,R,삼나무,,,
100,R,삼나무,,,
100,R,삼나무,,,
100,R,삼나무,,,
