구간,경도,위도,고도
101,126.97373,35.12402,339
102,126.973753,35.124002,339
103,126.973769,35.124003,339
104,126.973835,35.123946,339
105,126.973865,35.123925,339
106,126.973881,35.12393,339
107,126.973951,35.123892,335
108,126.974,35.123883,341
109,126.974046,35.123875,341
110,126.974097,35.123872,341
111,126.974119,35.123858,341
112,126.974139,35.123856,341
113,126.974179,35.123833,341
114,126.974192,35.12381,341
115,126.974237,35.123786,341
116,126.974255,35.123787,346
117,126.97432,35.123776,346
118,126.974353,35.123767,346
119,126.974392,35.123763,346
120,126.974419,35.123759,346
121,126.974473,35.123748,346
122,126.974514,35.123741,346
123,126.974516,35.12374,346
124,126.974553,35.123726,350
125,126.974573,35.123708,350
126,126.974602,35.123675,350
127,126.974618,35.123665,350
128,126.974663,35.123666,350
129,126.974683,35.123658,350
130,126.974733,35.123618,344
131,126.974749,35.123618,344
132,126.974776,35.12362,344
133,126.974814,35.123607,351
134,126.974856,35.123608,351
135,126.974923,35.1236,351
136,126.974944,35.123566,351
137,126.974949,35.123543,351
138,126.97497,35.123533,351
139,126.975011,35.12351,351
140,126.97505,35.123502,351
141,126.975088,35.123472,358
142,126.975123,35.123453,358
143,126.975134,35.123452,358
144,126.975149,35.123438,358
145,126.975181,35.123425,358
146,126.975216,35.123399,358
147,126.975245,35.123385,358
148,126.975273,35.123361,358
149,126.975298,35.123326,357
150,126.975324,35.123302,357
151,126.975349,35.123288,357
152,126.97539,35.123271,365
153,126.975409,35.123264,365
154,126.975432,35.123257,365
155,126.975459,35.123217,365
156,126.975491,35.123202,365
157,126.975522,35.123205,365
158,126.975561,35.123193,365
159,126.975609,35.123181,365
160,126.975632,35.123188,365
161,126.975664,35.123165,374
162,126.975706,35.123142,374
163,126.975711,35.123114,374
164,126.975729,35.123099,374
165,126.975741,35.123087,374
166,126.975775,35.123068,374
167,126.975802,35.123051,369
168,126.975825,35.123011,369
169,126.975856,35.122986,369
170,126.975862,35.122952,369
171,126.975873,35.122943,369
172,126.975937,35.122924,377
173,126.975969,35.12293,377
174,126.976016,35.122914,377
175,126.97602,35.122902,377
176,126.976024,35.122905,377
177,126.976041,35.122905,377
178,126.976104,35.122872,377
179,126.976157,35.122856,377
180,126.976163,35.122854,377
181,126.976215,35.122853,382
182,126.976229,35.122848,382
183,126.976235,35.122835,382
184,126.97626,35.122819,382
185,126.976316,35.122815,382
186,126.976323,35.122815,382
187,126.976371,35.122812,382
188,126.9764,35.122828,382
189,126.976452,35.122812,382
190,126.976484,35.122803,388
191,126.976509,35.122807,388
192,126.976541,35.122833,388
193,126.97656,35.122845,388
194,126.976618,35.122836,388
195,126.97667,35.122841,388
196,126.976697,35.122856,388
197,126.97674,35.122876,388
198,126.976756,35.122877,393
199,126.976792,35.122893,393
200,126.976812,35.122911,393
