구간,좌우,종명,개화,결실,비고
501,L,-,,,
502,L,-,,,
503,L,자귀나무,,,
504,L,싸리,,,
505,L,자귀나무,,,
505,L,리기다소나무,,,
506,L,자귀나무,,,
507,L,리기다소나무,,,
507,L,떡갈나무,,,
508,L,산벚나무,,,
509,L,털진달래,,,
509,L,자귀나무,,,
510,L,리기다소나무,,,
511,L,리기다소나무,,,
512,L,리기다소나무,,,
513,L,싸리,,,
513,L,소나무,,,
514,L,소나무,,,
515,L,졸참나무,,,
516,L,소나무,,,
516,L,때죽나무,,,
517,L,소나무,,,
518,L,소나무,,,
519,L,국수나무,,,
520,L,털진달래,,,
521,L,-,,,
522,L,소나무,,,
523,L,-,,,
524,L,-,,,
525,L,때죽나무,,,
526,L,느릅나무,,,
527,L,-,,,
528,L,-,,,
529,L,-,,,
530,L,싸리,,,
531,L,물푸레나무,,,
532,L,국수나무,,,
533,L,찔레나무,,,
534,L,찔레나무,,,
535,L,찔레나무,,,
535,L,보리수나무,,,
536,L,으름덩굴,,,
537,L,콩배나무,,1,
538,L,산초나무,,1,
539,L,콩배나무,,,
540,L,느릅나무,,1,
541,L,싸리,,,
542,L,보리수나무,,,
543,L,싸리,,,
544,L,가막살나무,,1,
544,L,상수리나무,,,
545,L,국수나무,,,
546,L,신갈나무,,,
547,L,싸리,,,
548,L,산벚나무,,,
549,L,층층나무,,,
550,L,싸리,,,
550,L,떡갈나무,,,
551,L,-,,,
552,L,느릅나무,,,
552,L,산초나무,,,
553,L,산초나무,,,
554,L,싸리,,,
555,L,산벚나무,,,
556,L,찔레나무,,,
556,L,보리수나무,,,
556,L,산초나무,,,
557,L,싸리,,,
558,L,싸리,,,
559,L,싸리,,,
559,L,싸리,,,
560,L,산초나무,,,
561,L,싸리,,,
562,L,싸리,,,
563,L,-,,,
564,L,보리수나무,,,
565,L,보리수나무,,,
565,L,싸리,,,
566,L,보리수나무,,,
567,L,찔레나무,,,
567,L,산초나무,,,
567,L,산초나무,,,
568,L,싸리,,,
569,L,싸리,,,
569,L,콩배나무,,,
570,L,싸리,,,
570,L,비목나무,,,
571,L,때죽나무,,,
572,L,싸리,,,
573,L,싸리,,,
573,L,싸리,,,
573,L,싸리,,,
574,L,보리수나무,,,
575,L,국수나무,,,
576,L,싸리,,,
577,L,때죽나무,,,
577,L,때죽나무,,,
578,L,싸리,,,
578,L,소나무,,,
579,L,싸리,,,
579,L,찔레나무,,,
580,L,소나무,,,
581,L,쥐똥나무,,1,
582,L,국수나무,,,
582,L,보리수나무,,,
582,L,찔레나무,,,
583,L,쥐똥나무,,,
583,L,보리수나무,,,
584,L,싸리,,,
584,L,찔레나무,,,
585,L,찔레나무,,,
586,L,찔레나무,,,
586,L,보리수나무,,,
586,L,국수나무,,,
587,L,산벚나무,,,
588,L,자귀나무,,,
588,L,털진달래,,,
588,L,때죽나무,,,
589,L,털진달래,,,
589,L,신갈나무,,,
589,L,신갈나무,,,
590,L,때죽나무,,,
591,L,졸참나무,,,
592,L,팽나무,,,
592,L,광대싸리,,1,
592,L,노박덩굴,,,
593,L,광대싸리,,,
594,L,신갈나무,,,
595,L,쥐똥나무,,,
596,L,비목나무,,,
596,L,졸참나무,,,
596,L,졸참나무,,,
597,L,쥐똥나무,,,
597,L,고추나무,,,
598,L,광대싸리,,1,
599,L,고광나무,,,
599,L,고추나무,,,
599,L,상수리나무,,,
600,L,고추나무,,,
