구간,좌우,종명,개화,결실,비고
501,R,물푸레나무,,,
502,R,찔레나무,,,
503,R,찔레나무,,,
504,R,찔레나무,,,
505,R,가막살나무,,,
506,R,느릅나무,,1,
506,R,상수리나무,,,
507,R,찔레나무,,,
508,R,싸리,,,
509,R,싸리,,,
509,R,보리수나무,,,
510,R,-,,,
511,R,-,,,
512,R,보리수나무,,,
513,R,단풍나무,,,
514,R,단풍나무,,,
515,R,느티나무,,,
516,R,-,,,
517,R,국수나무,,,
518,R,싸리,,,
519,R,국수나무,,,
519,R,붉나무,,,
520,R,붉나무,,,
521,R,산벚나무,,,
522,R,소나무,,,
523,R,은행나무,,,
524,R,단풍나무,,,
525,R,-,,,
526,R,싸리,,,
527,R,싸리,,,
528,R,-,,,
529,R,싸리,,,칡
530,R,싸리,,,
531,R,싸리,,,
532,R,싸리,,,
533,R,국수나무,,,
534,R,상수리나무,,,
535,R,상수리나무,,,
536,R,층층나무,,,
537,R,상수리나무,,,
538,R,광대싸리,,,
539,R,찔레나무,,,
540,R,광대싸리,,,
541,R,붉나무,,,
542,R,상수리나무,,,
542,R,찔레나무,,,
543,R,광대싸리,,,
544,R,싸리,,,
545,R,노린재나무,,,
546,R,찔레나무,,,
547,R,싸리,,,
548,R,싸리,,,
549,R,상수리나무,,,
550,R,상수리나무,,,
551,R,떡갈나무,,,
552,R,싸리,,,
553,R,상수리나무,,,
554,R,때죽나무,,,
555,R,노박덩굴,,,
556,R,싸리,,,
557,R,싸리,,,
558,R,산초나무,,,
559,R,광대싸리,,,
559,R,백당나무,,1,
559,R,찔레나무,,1,
560,R,노박덩굴,,1,
561,R,찔레나무,,1,
561,R,상수리나무,,,
562,R,쥐똥나무,,1,
562,R,찔레나무,,1,
563,R,-,,,
564,R,국수나무,,,
565,R,광대싸리,,,
565,R,졸참나무,,,
566,R,국수나무,,,
566,R,광대싸리,,,
567,R,병꽃나무,,,
567,R,국수나무,,,
568,R,때죽나무,,,
569,R,병꽃나무,,,
570,R,찔레나무,,,
570,R,광대싸리,,,
571,R,찔레나무,,,
571,R,때죽나무,,,
572,R,싸리,,,
572,R,싸리,,,
573,R,붉나무,,,
574,R,때죽나무,,,
574,R,산초나무,,,
575,R,광대싸리,,,
575,R,노박덩굴,,,
576,R,싸리,,,
577,R,노박덩굴,,1,
577,R,괴불나무,,,
578,R,쥐똥나무,,,
578,R,신갈나무,,,
578,R,붉나무,,,
579,R,싸리,,,
580,R,찔레나무,,,
581,R,비목나무,,,
582,R,노린재나무,,,
583,R,-,,,
584,R,사람주나무,,,
584,R,사람주나무,,,
585,R,상수리나무,,,
585,R,신갈나무,,,
585,R,비목나무,,,
586,R,노린재나무,,,
587,R,떡갈나무,,,
588,R,때죽나무,,,
589,R,감태나무,,,
589,R,쥐똥나무,,,
590,R,산초나무,,,
590,R,고광나무,,,
590,R,비목나무,,,
591,R,광대싸리,,,
591,R,노박덩굴,,,
592,R,산뽕나무,,,
593,R,찔레나무,,,
594,R,찔레나무,,,
594,R,고추나무,,,
595,R,개암나무,,,
596,R,광대싸리,,,
597,R,찔레나무,,,
597,R,쥐똥나무,,,
598,R,고광나무,,,
599,R,비목나무,,,
599,R,싸리,,,
600,R,국수나무,,,
