구간,경도,위도,고도
701,126.991498,35.118921,725
702,126.991547,35.118925,725
703,126.99159,35.118921,725
704,126.991605,35.118941,725
705,126.991613,35.118935,725
706,126.991657,35.118932,725
707,126.991693,35.118953,725
708,126.991724,35.118965,725
709,126.991744,35.118982,725
710,126.991764,35.119002,731
711,126.99182,35.11899,731
712,126.991822,35.118988,731
713,126.991879,35.118999,731
714,126.991905,35.119,731
715,126.991943,35.119015,731
716,126.991971,35.119037,731
717,126.991992,35.119023,731
718,126.992028,35.119038,731
719,126.99208,35.11904,739
720,126.99213,35.11905,739
721,126.992155,35.119059,739
722,126.992165,35.119072,739
723,126.992187,35.119087,739
724,126.992207,35.119112,739
725,126.99224,35.119076,739
726,126.992272,35.119086,739
727,126.992294,35.119112,739
728,126.992324,35.119108,745
729,126.99236,35.119125,745
730,126.992403,35.119148,745
731,126.992414,35.119136,745
732,126.992435,35.119176,751
733,126.992462,35.119178,751
734,126.992494,35.119189,751
735,126.992501,35.119197,751
736,126.992536,35.119225,751
737,126.992562,35.119223,751
738,126.992586,35.119239,755
739,126.992622,35.119265,755
740,126.992665,35.119282,755
741,126.992663,35.119281,755
742,126.992699,35.119297,755
743,126.992752,35.119287,755
744,126.992784,35.119303,755
745,126.992798,35.119308,755
746,126.992852,35.119303,755
747,126.992894,35.119297,761
748,126.992935,35.119288,761
749,126.992959,35.119318,761
750,126.99297,35.119332,761
751,126.992981,35.119326,761
752,126.993008,35.119326,761
753,126.993029,35.119314,761
754,126.993186,35.119389,772
755,126.993193,35.119392,772
756,126.993232,35.119385,772
757,126.993266,35.11939,772
758,126.993275,35.119395,772
759,126.993322,35.119375,772
760,126.993337,35.119385,772
761,126.993358,35.119388,772
762,126.993379,35.119411,772
763,126.993415,35.119407,772
764,126.993435,35.119403,774
765,126.993475,35.119382,774
766,126.99348,35.119382,774
767,126.993503,35.119387,774
768,126.993523,35.119373,774
769,126.993556,35.11936,774
770,126.99357,35.119349,774
771,126.993595,35.119348,774
772,126.993644,35.119369,774
773,126.993658,35.119347,774
774,126.993689,35.119335,774
775,126.993744,35.119345,773
776,126.993788,35.119338,773
777,126.993822,35.119365,773
778,126.99383,35.119378,773
779,126.993862,35.119374,773
780,126.993888,35.119389,773
781,126.993938,35.119406,773
782,126.993987,35.119398,776
783,126.994005,35.1194,776
784,126.994016,35.119416,776
785,126.994081,35.119415,776
786,126.99412,35.11941,776
787,126.994141,35.119415,776
788,126.994188,35.119376,776
789,126.994167,35.119377,776
790,126.994184,35.119376,776
791,126.994266,35.119386,782
792,126.994285,35.11936,782
793,126.994314,35.119333,782
794,126.99433,35.119322,782
795,126.994354,35.119313,782
796,126.994386,35.11929,782
797,126.994442,35.119291,782
798,126.994441,35.119292,782
799,126.994461,35.11926,782
800,126.994494,35.119252,782
