구간,좌우,종명,개화,결실,비고
601,R,쥐똥나무,,,
601,R,광대싸리,,,
602,R,물푸레나무,,,
602,R,병꽃나무,,,
603,R,물참대,,,
604,R,괴불나무,,,
605,R,생강나무,,,
605,R,산벚나무,,,
605,R,노박덩굴,,,
606,R,개암나무,,,
606,R,노박덩굴,,,
607,R,층층나무,,,
608,R,산벚나무,,,
609,R,비목나무,,,
610,R,졸참나무,,,
610,R,굴참나무,,,
611,R,졸참나무,,,
612,R,졸참나무,,,
612,R,굴참나무,,,
613,R,보리수나무,,,
614,R,굴참나무,,,
615,R,보리수나무,,,
616,R,찔레나무,,,
617,R,국수나무,,,
618,R,굴참나무,,,
619,R,비목나무,,,
619,R,물푸레나무,,,
619,R,졸참나무,,,
620,R,국수나무,,,
620,R,고추나무,,,
621,R,고추나무,,,
622,R,고추나무,,,
622,R,찔레나무,,,칡
623,R,-,,,칡
624,R,-,,,칡
625,R,고추나무,,,
625,R,고추나무,,,
626,R,고추나무,,,
626,R,찔레나무,,,
626,R,광대싸리,,,
627,R,광대싸리,,,
628,R,꾸지뽕나무,,,
628,R,국수나무,,,
628,R,광대싸리,,,
629,R,광대싸리,,,
630,R,때죽나무,,,
631,R,떡갈나무,,,
631,R,때죽나무,,,
632,R,자귀나무,,,
633,R,때죽나무,,,
633,R,광대싸리,,1,
634,R,꾸지뽕나무,,,
635,R,고추나무,,,
635,R,노린재나무,,,
636,R,때죽나무,,,
636,R,노린재나무,,,
637,R,떡갈나무,,,
638,R,떡갈나무,,,
639,R,떡갈나무,,,
640,R,비목나무,,,
640,R,비목나무,,,
641,R,신갈나무,,,
642,R,노린재나무,,,
643,R,신갈나무,,,
643,R,사람주나무,,,
644,R,떡갈나무,,,
644,R,신갈나무,,,
645,R,노린재나무,,,
645,R,비목나무,,,
646,R,국수나무,,,
646,R,비목나무,,,
646,R,병꽃나무,,,
647,R,떡갈나무,,,
648,R,때죽나무,,,
648,R,쥐똥나무,,,
649,R,쥐똥나무,,,
650,R,노박덩굴,,1,
651,R,참빗살나무,,1,
651,R,생강나무,,,
652,R,조릿대,,,
653,R,조릿대,,,
653,R,찔레나무,,,
654,R,쥐똥나무,,,
654,R,찔레나무,,,
654,R,쥐똥나무,,,
655,R,산초나무,,,
655,R,때죽나무,,,
656,R,조릿대,,,
656,R,물푸레나무,,,
657,R,떡갈나무,,,
657,R,떡갈나무,,,
658,R,신갈나무,,,
659,R,상수리나무,,,
659,R,병꽃나무,,,
660,R,가막살나무,,,
661,R,보리수나무,,,
662,R,물푸레나무,,,
662,R,찔레나무,,,
662,R,보리수나무,,,
663,R,물푸레나무,,,
664,R,병꽃나무,,,
665,R,신갈나무,,,
665,R,산초나무,,,
666,R,조릿대,,,
666,R,쥐똥나무,,,
666,R,때죽나무,,,
667,R,국수나무,,,
667,R,조릿대,,,
668,R,때죽나무,,,
669,R,신갈나무,,,
669,R,물푸레나무,,,
670,R,물푸레나무,,,
671,R,신갈나무,,,
671,R,감태나무,,,
672,R,조릿대,,,
672,R,싸리,,,
673,R,으름덩굴,,,
673,R,싸리,,,
673,R,비목나무,,,
674,R,때죽나무,,,
674,R,비목나무,,,
674,R,산초나무,,,
675,R,조릿대,,,
676,R,싸리,,,
676,R,조릿대,,,
677,R,조릿대,,,
677,R,물푸레나무,,,
678,R,물푸레나무,,,
678,R,물푸레나무,,,
679,R,물푸레나무,,,
679,R,때죽나무,,,
680,R,-,,,
681,R,때죽나무,,,
681,R,물푸레나무,,,
681,R,물푸레나무,,,
682,R,조릿대,,,
682,R,생강나무,,,
683,R,물푸레나무,,,
683,R,고광나무,,,
683,R,물푸레나무,,,
683,R,물푸레나무,,,
683,R,물푸레나무,,,
684,R,물푸레나무,,,
684,R,물푸레나무,,,
685,R,물푸레나무,,,
686,R,쥐똥나무,,1,
687,R,졸참나무,,,
687,R,조릿대,,,
688,R,쥐똥나무,,,
688,R,비목나무,,,
689,R,생강나무,,,
689,R,비목나무,,,
689,R,조릿대,,,
690,R,쥐똥나무,,,
690,R,으름덩굴,,,
691,R,산뽕나무,,,
691,R,으름덩굴,,,
691,R,참빗살나무,,,
691,R,비목나무,,,
692,R,가막살나무,,1,
693,R,고광나무,,,
693,R,쥐똥나무,,1,
694,R,고추나무,,,
694,R,국수나무,,,
694,R,졸참나무,,,
695,R,참빗살나무,,,
696,R,생강나무,,,
696,R,비목나무,,,
696,R,고추나무,,,
696,R,고추나무,,,
697,R,참빗살나무,,1,
697,R,물푸레나무,,,
697,R,조릿대,,,
698,R,조릿대,,,
699,R,조릿대,,,
699,R,신갈나무,,,
700,R,조릿대,,,
700,R,물푸레나무,,,
